,Title,Categories,Tags,Replies,Post,Comment
0,About the CSS FAQ category,"FAQ,CSS FAQ",,1,"
CSS is the primary language that provides style to HTML webpages. This forum category covers FAQs on exercises in Codecademy’s CSS courses.
",
1,"Oes a “chained” selector have a higher specificity than a class or id selector? For example, which selector would “win”: `.special` or `h1.special` or `#special`?","FAQ,CSS FAQ",,37,"
Question
Does a “chained” selector have a higher specificity than a class or id selector? For example, which selector would “win”: .special or h1.special or #special?
Answer
A chained or qualified selector has a higher specificity than a class selector but a lower specificity than the id selector. Hence, assuming these selectors are all targeting the same HTML tag,  the specificity from highest to lowest would be:
1) #special
2) h1.special
3) .special
","
It stated “if a p element also had a class of special the rule in the example would not style the paragraph element”. Why is this so and how to style p element then?

this post/topic is about resolving conflicting css property applied to the same element, lets start simple:
<p>i am red</p>

p {
    color: red;
}

the paragraph would be red, but what about:
<p>i am some color</p>

p {
    color: red;
}

p {
    color: aqua;
}

now what color will the paragraph be? the answer is: aqua
both selectors have the same specificity, so the latest styling gets applied.
Okay, what about:
<p class=""color"">i am some color</p>


.color {
    color: red;
}

p {
    color: aqua;
}

what color will the paragraph be? The answer: red
the class selector has a higher specificity, as such, that color is applied to the paragraph even though the p css selector is defined later.
finally:
<p class=""color"">i am some color</p>


.color {
    color: red;
}

p {
    color: aqua;
    font-size: 32px;
}


what font-size will the paragraph be? answer: 32px
the class selector doesn’t specify a font-size, so there is no conflicting property, so the font-size of p css selector simply gets applied

I am understanding how to style the paragraph but does the statement that i previously stated actually means that we cannot style two different elements(h2 and p) of same class(special)?




 meghataunk:

actually means that we cannot style two different elements(h2 and p) of same class(special)?


why not? Its perfectly possible:
<h2 class=""special"">some text</h2>
<p class=""special"">some text</p>

.special {
    color: red;
}

both h2 and p are red.
however, if you do:
h2.special {color: red;}

only h2 will be red, because h2.special selector rules mean: target all h2 element with class special. So h2 without class special are not affected by h2.special:
<h2 class=""special"">i am red</h2>
<h2>i am not</h2>
<p> class=""special"">me neither</p>

h2.special {color: red;}


¿Can you make a selector chainging two classes so that the css will only be apllied to an element that has both of the classes? For example, something like this:
CSS:
.note.italic {
font-color: red
}
So if we want to use this css and apply to an element, that element should have both classes (“note” and “italic”), otherwise, it won’t be apply.
Is there any way to make something similar to this? or you can only chain html elements with classes?
Thanks for the help.




 seamusspower:

Can you make a selector chainging two classes so that the css will only be apllied to an element that has both of the classes?


Yes. When two selectors are chained (no whitespace) they become one selector.
<p class=""note""></p>
<p class=""italic""></p>
<p class=""note italic""></p>

Now consider:
<section>
  <p></p>
  <p></p>
  <p class=""italic""></p>
</section>
<section class=""note"">
  <p></p>
  <p></p>
  <p class=""italic""></p>
</section>
<section>
  <p></p>
  <p></p>
  <p class=""italic""></p>
</section>

Now the selector will be a descendant…
section {}
p {}
.italic {}
.note {}
.note .italic {}    /* <<< this one <<< */

In my understanding,
Literally, higher specificity means more details, vice-versa, lower specificity means less details.
As tag has a wide range of affecting elements in HTML so It’s ‘not specific’ to indicate certain part in HTML,
Yet ID has a narrower range of affecting elements in HTML so It is ‘very specific’ to indicate certain part in HTML.
In this manner, If we look at those 3 examples shown above, #sepcial, h1.special, .special.
.special - cover all the elements which have class .special
h1.special - cover all the elements which must contain h1 tag and class .special
#special - cover very specific element with ID #special
SO order is #special - h1.special - .special




 jun_park:

#special - cover all the elements which must have ID #special


elements? Ids should be unique, so element.

Thanks for correction!
and Sorry for my bad English 

Why use
h2.destination  {
}
for the  h2 element if you can just label the class=“destination”  and use the following CSS selector:
.destination  {
}




 bjthomas1:

class=“destination”


may be applied to many elements, so a rule written for that would apply to all elements with the class.
h2.destination

is selective and will only apply to H2 elements that have the destination class.

i get that part but why even use an h2.destination when I can just use a class=""""?

Because then the class can only be used on H2.

i covered precisely this in a reply in this topic:



 stetim94:

why not? Its perfectly possible:
<h2 class=""special"">some text</h2>
<p class=""special"">some text</p>

.special {
    color: red;
}

both h2 and p are red.
however, if you do:
h2.special {color: red;}

only h2 will be red, because h2.special selector rules mean: target all h2 element with class special. So h2 without class special are not affected by h2.special :
<h2 class=""special"">i am red</h2>
<h2>i am not</h2>
<p> class=""special"">me neither</p>

h2.special {color: red;}




The example given was:
h1.special {
}
Then the article says: “The code above would select ONLY the h1  elements that have a class of special . If a p element also had a class of special , the rule in the example would not style the paragraph.”.
ANSWER: The chaining rule above has excluded the style application to the p element by marriage of the special class to the heading h1 element. Although it has the special class, p is NOT a heading but a paragraph element, remember. Now, as I emboldened in the lesson quote above, you even see that there are TWO conditions to be met in this “chaining” rule case:
1 - Be a h1 AND
2. Have the class special .
That’s why it says ""…the rule in the example would not style the paragraph.”…The heading h1 condition shut the door on the paragraph. In simpler words, the chain rule demands TWO conditions (1 & 2 above), only one of which is met by the paragraph element (condition 2).

Would it be correct to state that ID’s can also be used as chaining selectors in CSS?
eg: h3#destination

It would work, although unnecessary to write that way. There can only be one #destination, and chaining it to a type selector will have no bearing on the specificity.
<h3 id=""destination"">An id is all that's needed</h3>

A class is not confined to a single instance, or any particular type so can be chained to all manner of type selectors.
h3.special

p.special

ul.special

Chaining a class to a type is far more utilitarian than chaining an id, which is ultra-specific.




 bjthomas1:

why even use an h2.destination when I can just use a class=""""?


If in our particular exercise Top Vacation Spots we wanted ALL headings with class=""destination"" to be cursive, then I think you’re probably right to suggest that it would be cleaner, tidier, and more logical to just use the class as the CSS selector (as to add an h2 would be redundant).
However, in our particular exercise this is not the case. We have both <h2> and <h4> elements with class=""destination"" and I think the idea is that we only want the <h2>s to be cursive. So, as both @mtf and @stetim94 have illustrated in their posts, we need to chain our CSS selector so that it only applies to:



 mtf:

H2 elements that have the destination class.





 stetim94:

<h2 class=""special"">i am red</h2>
<h2>i am not</h2>
<p> class=""special"">me neither</p>

h2.special {color: red;}



If we substitute the <p> in @stetim94’s example with <h4> then this more closely mirrors what is going on with the headings in our particular exercise Top Vacation Spots (and obviously with cursive script rather than the colour red).
NB:  The <h4> headings in our exercise are the destinations in the unordered list at the bottom of the page.




 seamusspower:

¿Can you make a selector chainging two classes so that the css will only be apllied to an element that has both of the classes? For example, something like this:
CSS:
.note.italic {
font-color: red
}
So if we want to use this css and apply to an element, that element should have both classes (“note” and “italic”), otherwise, it won’t be apply.
Is there any way to make something similar to this? or you can only chain html elements with classes?
Thanks for the help.


someone can please tell me the answer for this in more specific way? thank you
"
2,Should we use flex-grow and flex-shrink instead of media queries?,"FAQ,CSS FAQ",q-a,1,"
Question
Should we use flex-grow and flex-shrink instead of media queries?
Answer
When using flexbox for a component(s) on a web page/web app, we should definitely try to make use of these flexbox properties instead of using media queries! Flexbox is responsive by default and flex-grow/flex-shrink may be better to use as there are usually less lines of code to write, specifically when using flex-grow/flex-shrink/flex-basis - as we can use the shorthand flex property in place of these three properties.  Unless we need a more specific behavior when our screens are a different width, we should try to use the properties built into flexbox.
",
3,Oval as a result of border-radius: 100%,"FAQ,CSS FAQ",,9,"
Question
why setting the radius of the #banner .content h1 border to 100%  gives me an oval and not a circle?
Answer
Having 100% on border-radius should give you a perfect circle, that is correct, only if the element’s height and width are the same. That is, you need a square element to have a circle border. As well, if your element does not have specific measurements it is at the mercy of the size of the container and its own content, and therefore you will need to adjust its measurements if your goal is to have a circle border.
","
Great answer! Thank you.

Setting the border-radius to 50% is sufficient to get an oval.

Thanks for the info bro.

Thanks for the answer.
I’m a little confused as to why the content is overflowing the border? Shouldn’t content be inside the border since border surrounds the content area (in case there’s no padding)?

because by default the overflow property is set to “visible” value and therefore the content is visible outside of the border
But if you set the overflow property to “hidden/scroll” value… then you will find that the content is confined within the border of the element

Capture d’écran 2020-05-19 à 14.03.11812×956 562 KB
Hello, thanks for the answer, but still, text isn’t much visible. How I can put the text in the center of this cercle? I try with text-alight and margin-top, but all block change the place, not only the text inside.
Thank you!

I found  need to add :
#banner .content h1
{
display: flex;
align-items: center;
}

Hello, there!
Can I ask and interest?
Why when I try to create a border radius in my border box here  (at those #banner .content h1 selector) and want to create the Cyrcle border radius - it creates only an Oval? I try as it says that the border radius must be the same as width and height of your border box. Try to set also even the 100% too (not just in pixels). What maybe I can do wrong?
Thanks so much
"
4,Setting a border for one or two sides of the element,"FAQ,CSS FAQ",q-a,4,"
Question
Is it possible to set a border for one or two sides of the element?
Answer
Yes! Sometimes we want to make text look as if it has been underlined or sandwiched between two lines. It is not really possible through the border property but we can use its derivatives:

border-top

border-right

border-bottom

border-left


Each one of them follows the same value structure for border: width style color;
So, to have a white top and bottom lines on a paragraph tag that is 2 pixels wide, we would write something like this:

p{

border-top: 2px solid white;

border-bottom: 2px solid white;

}


and then you can see something like this:

Screen Shot 2018-09-27 at 12.41.21 PM.png729×71 1.29 KB

Note: There are other styles involved, but the main reason of this visual is for the borders.
","
Is there a specific order in which these designs have to come in, such as width, style, then color? Or is it able to be scrambled such as attributes for tags?

No There is no specific order to set this as we can set
style then color then width or as we want.

This is from the border style documentation available at MDN Web Docs:

The  border-style  property may be specified using one, two, three, or four values.

When  one  value is specified, it applies the same style to  all four sides .
When  two  values are specified, the first style applies to the  top and bottom , the second to the  left and right .
When  three  values are specified, the first style applies to the  top , the second to the  left and right , the third to the  bottom .
When  four  values are specified, the styles apply to the  top ,  right ,  bottom , and  left  in that order (clockwise).
Source:  https://developer.mozilla.org/en-US/docs/Web/CSS/border-style#Values



Therefore, you can achieve your desired result by concatenating up to four values to the border-style css property.
If you want to set a border to just one side of the element, use four values (write none to the side you want no border to appear).
If you want to set a border to the top and bottom sides, use two values (write none to the second value).
If you want to set a border to the left and right, use three values (write none to the first and third values).
Example:
border-style: none solid none none;    // border will be applied only to the right side.
border-style: solid none;    // border will be applied only to the top and bottom sides.
"
5,Are padding and margin interchangeable?,"FAQ,CSS FAQ",q-a,11,"
Question
Can I use padding instead of margin to position an element?
Answer
Not always, even though they might seem to render similar results separating elements from one another, their main difference is that margin will create the space outside of the element, while padding constricts space inwards.
Here’s a visual example where the first element (red border) has received a padding property of 50px and the second (blue border) a margin property of 50px.

Screen Shot 2018-09-28 at 6.45.43 PM.png927×314 3.43 KB


Screen Shot 2018-09-28 at 6.45.26 PM.png933×324 4.04 KB

The space they occupy is the same, but the way it is occupied is different and that might make a difference in how your element is displayed.
","
Thanks for the info.

The padding is set, and there is text in the content box, and border is set.
If the height of the entire box is lessened, but padding is not changed, what happens to the text inside the box?

If the padding is set less than border nothing will happend to the text beacuse padding is the space between content and  the border it will adjust itself

e.g  see if padding is 200px
and border is 100px
the 200px of padding is inside the border of 100px
means it is 200px of 100px

If i set padding 200px what will the distribution among the
padding-top padding-left padding-bottom and padding-right
means it may be 50px or what

padding is used to separate content from the border right?  then in the case of no border applied? what is the size of the default solid  border?

can we use padding and border for images?
like if i want the corners of the image to be rounded how do i apply this?

I’m a newbie still, so I will happily be corrected by someone more experienced but… I believe in the case of borders the default size is to wrap the element entirely so it will form to the width/height of the content area.
If you were meaning what size is the border if we don’t specify a width?
If I recall from the lesson, a border’s default specs overall are:
width = medium
style = none
color = [element color]
So I believe:
p {border: solid}
would be the same as:
p {border: medium solid}
and in either case in your style.css it would have the browser render a solid medium border that is the color of the paragraph element.
With regard to the question about rounded pictures:
.avatar {
  background-image: url(""./Resources/Image/avatar.jpg"");
  background-size: cover;
  height: 50px;
  width: 50px;
  border-radius: 50%;
}

would make a circular avatar image similar to how our images show up in forum posts. I believe you can also set the border-radius to lower/higher percentages or adjust to pixels (px) to alter the rounded effect.

Thank you!! this really helped me alot

Anytime! I’m just glad I made sense to someone else! 
"
6,"Is it possible for two selectors targeting the same element to have the same specificity? If so, which styles “win” out?","FAQ,CSS FAQ",,17,"
Question
Is it possible for two selectors targeting the same element to have the same specificity? If so, which styles “win” out?
Answer
Yes it is possible to have two selectors of the same specificity targeting the same element. For example, say we have this HTML element with two class names applied: <h3 class= “callout title”> … </h3>
Now the following rules use different selectors with the same specificity to target the same h3 element:
.callout {
    color: green;
}
.title {
    color: blue;
}

So which rule gets applied to our <h3> element? According to the levels of precedence specified by the cascade, the selector furthest down in our style sheet will win out. Hence, our <h3> text would be colored blue in this example.
","
So, what is exactly the answer to this question? I did not get it.

i made all the code better readable, please read the answer again. Let me know if you have further questions.

He implies that the selector which is in the last position (i.e.)the most bottom one will be applied. In this case  .title is at the most bottom, so text will be colored blue rather green. Hope you understood.

Yes, now that i applied the markup correctly, the post is readable, before, it wasn’t. Which is why farahadid didn’t understand it.
So yea, i assumed that now the post was readable, it would make sense, if not, i would have hard from farahadid.

I understood like this,
If you have studied language like C, you can imagine the same specificity in the way of altering variables. Among of those various codes of altering the value on a same variable, the last line changing the value of variable decides the value that the variable has in the end. Simply, It’s all about the order of command line.

so if i moved

.callout

below the

.title

then the color of h3 will change to green?

yes  the color will change to green  as  explained by  wuxi 

Taking the example at the beginning of the thread, what if the CSS remained the same, but the classes in the HTML were the other way around - title first, then callout.
Does it still go by the order off the stylesheet?


Yes. It still will receive the style specified by the last selector in order from top to bottom that refers to the html element specified. The order in which the class names appear in the element tag itself will make no difference. They still refer to the same element which receives the style. The classes aren’t styled, they just identify the element.

Thanks! I thought that was probably the case, but thought it was still worth asking.  

The operation priority is with lower “class” in CSS file.

it seems like that if you have two  classes e.g

and css rules
.green{
color: green;
}
.blue{
color: blue
}
the last css rule .blue will win

I read this MDN article about inheritance, cascade and specificity. However, when reading about specificity, I came across this table:
MDN-CSS-specificity-table1009×227 11.9 KB

I don’t understand why h1 + p::first-letter has a specificity of 0003. I would have thought it would be 0002 as h1 and p are both tag selectors.

Same thing with li > a[href*=""en-US""] > .inline-warning. I would have thought it would be 0012.
Can someone please explain why the selectors have the specificity that they do?

first-letter has a specificity of 0001 as well.
this table might help:
https://dev.to/emmabostian/css-specificity-1kca
this shows that attribute selectors ([]) also have a specificity of 0010
you can also reason backwards, if h1 is 0001, and p is 0001, then first-letter must also be worth 0001 specificity

Hi @samyadel,
I would also recommend @stetim94’s post to get more insight into how to calculate and find the specificity levels. Once you have that understanding and you want to check your work, other tools like specificity calculators might help you out.
In this case, you have 2 elements, h1 and p (each with a value of 0001). Then you have the ::first-letter which is called a pseudo element which also has a value of 0001.

Great! Thank you @realkennylin and @stetim94 for your explanations
"
7,Margin property with three values,"FAQ,CSS FAQ",q-a,3,"
Question
I tried giving margin three values and it worked, why?
Answer
As we know, the single declaration of margin can take one value and it will apply it to every side of the element; if we give it four different values, each one of them will relate to each side in clockwise order ( top, right, bottom left), and if we give the property two values CSS will account the first one to relate to top and bottom, and the second one to right and left. Yet, using three values works because CSS counts it as if the fourth value was the same as the second, therefore it is read as:
margin: top right/left bottom;
So, if we had  this for an element:
margin:50px 20px 1px;
Right and left will have a margin of 20px each, which can be illustrated like this:

","
can we use center value with margin
e.g
margin: center;

A margin surrounds a box, so it can only have top, bottom, left, and right. The center is what contains the element.
"
8,"What happens if we try to apply the same id to multiple elements? Will our styles not get applied to the targeted, ided elements?","FAQ,CSS FAQ",,11,"
Question
What happens if we try to apply the same id to multiple elements? Will our styles not get applied to the targeted, ided elements?
Answer
As HTML and CSS are designed to be very fault tolerant, most browsers will in fact apply the specified styles to all elements given the same id. However, this is considered bad practice as it defies the W3C spec.
Applying the same id to multiple elements is invalid HTML and should be avoided.
","
For that purpose we have class attributes, which may be distrbuted everywhere and anywhere.
The reason we can only have one id is because it is a fragment identifier that can be hooked with an HREF.
<div id=""history"">

</div>

and anywhere else in the same page,
<a href=""#history"">History</a>

Imagine the confusion over which one to hook if there is more than one id=""history"". The browser may always go to the first one in the page, though I’ve not tested this. Best to stick to the spec and write valid HTML.

Thank you very much for the reply @mtf! Very insightfull indeed.
Also in the next lesson it is explained another reason why not to use multiple “id”, which is because of the matter of Specificity of the elements. Using too many “id” can cause the document hard to edit in the future because it has a higher  priority when CSS rules are applied. I hope I got it right, hehe.

Specificity if something we should keep a tight rein on, keeping our document’s specificity as low as possible so that future changes to the page or site in general are not a massive undertaking, but a smooth transition.
style  id   class  type    # element
  0     0     0     1
  0     0     1     0
  0     1     0     0
  1     0     0     0

Higher specificity as we go left. The term priority is not really a common term in CSS. Specificity is an indication of importance of a selector.
p             element type
.class        element with class attribute
#id           element with id attribute
style         element with style attribute
!important    style property with !important override

specificity increases as we go down the list.

For example we have a 3 bdrm house, with no colors on the walls,.
So we gonna use class to make all walls white by default & we gonna use different id in that “house” so we can add different features for those white rooms ??? did I get it right?

what if if an HTML element has a class and an ID attribute? Wich has the priority? In lesson 9/17 in CSS setup and selectors, there’s an h1 element which has both. The class attribute tells the browser to make the content uppercase the ID attribute tells the browser to make it capitalize. In that case, after I added the ID, the content changed from uppercase to capitalized. It is normal?
If an ID attribute has a priority, why don’t we uses it all the time?




 robertoz7598688466:

If an ID attribute has a priority, why don’t we uses it all the time?


ID can only be used once in any document. There is greater importance, or specificity than a CLASS but for the most part we use it because of its uniqueness, not importance. In real truth we want our selectors to have the lowest possible specificity, not the other way around. That’s why TYPE has the lowest specificity… So it can be overridden.
We use class when we wish to identify a group of elements, of mixed type, and give them all properties they will have in common. Among them we may have a single element, typically a parent but not necessarily so, that we want to stand out from the rest, in which case we may give it an ID, but that wouldn’t be the only reason. Mainly our aim is make it unique from the others.

I have noticed that when I write id’s value inside single quotation marks (’ ') I get wrong message. Is it mandatory to write everything inside quotation marks ("" "")?

HTML purists from days of old would have nothing but double quotes on attributes. Netscape came around and all of a sudden there were single quotes on attributes (viewing page source). The purists didn’t yield. To this day we see double quotes on attributes in source requests. Maybe not always, but enough to deem significance.
Bottom line, it doesn’t matter. Let the purists have their own preference. (My preference is double quoted attributes, even in generated HTML.)




 mtf:

The reason we can only have one id is because it is a fragment identifier that can be hooked with an HREF.


Then why should we use two attribute in same tag whether we can use only one either class or id in h1 tag??

ID is meant as a global identifier. The fact that we can style with it is more a convenience than a rule. Styling with class is more the norm.
Essentially, there are two reasons to use ID, maybe three…

fragment identifier
unique parent container CSS selector
unique high specificity CSS selector

Bottom line, only use ID when there is a need to create a global hook that is bound to the window object.
<article id=""topstory"">

</article>

#topstory {
    height: 240px;
    background-color: #dfdfdf;
    border: 1px dashed blue
}

topstory.onmouseover = highlight

function highlight () {
    event.target.style.backgroundColor = '#dfefff'
}
"
9,Single declaration,"FAQ,CSS FAQ",q-a,1,"
Question
When should we use single declaration properties like padding and margin with values for every side?
Answer
The decision of how to structure  the padding or margin of an element will always be based on the needed result of a page, if you need to have different measurements on each side, a single declaration is easier and faster to write, the same goes for elements that have the same measurements on opposite sides, but if your element will only need the distance on one side, it makes better sense to use the property for that specific side, for example:
padding-bottom: 20px;.
",
