,Title,Categories,Tags,Replies,Post,Comment
0,About the HTML FAQ category,"FAQ,HTML FAQ",,1,"
HTML FAQ here. HTML is the language that provides structure to webpages. This forum category covers FAQs on the Codecademy HTML courses.
",
1,Can the <li> element contain content other than text?,"FAQ,HTML FAQ",q-a,12,"
Question
Can the <li> element contain content other than text? For example, can we have lists of videos or songs or hyperlinks or some combination of all three?
Answer
Yes we can! The <li> element can contain any element which is valid within the <body> tag. This means that we can have lists of videos, images, songs, hyperlinks, or any combination thereof. In fact, we can even have lists of lists!
","
Wow! I didn’t know the li element is so versatile.

yes, MDN always has good documentation so for example about <li>:
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/li
we can see: permitted content flow content, then you can see what tags are flow content. Which are a lot

You can create an unordered list containing an ordered referencing an image of an ordered list containing an unordered list.

If this is possible then, does that mean the li element will contain attributes representing the song or image within its tag, or instead place the song or image contents outside its tag?

Newbie here: does the formatting of text (like in word with bold, italics, size, font, bullets, etc) carry over to html setup? or do you need to change it all again?  I ask this because in the lesson example, it seems like terming each line or bolded word is extra work if it’s already been done before in another program. Help me understand!




 knightjmcc:

… carry over to html setup?


No. Any character formatting will be lost on paste in unless by some fluke all the unrevealed markup is still embedded. One would expect that to not be the case. All the text will need to be marked up as required.

Sometimes when pasting from word doc to wordpress for example, the formatting is converted into html automatically. In that case you could copy the html code from there and use it elsewhere if needed. The converting isn’t always perfect though. I’d assume there are probably some online converters as well, as there are converters for excel to html table.

I had no idea <li> could be used for things other then text.

Technically all of HTML is text, whether in terms of markup, or the content itself. The MIME type for a web document is, type=""text/html""

@mtf Hello, I see that you are the most pro here, so here goes my question. I was wondering if in HTML you could render mathematical formulae or other stuff. It’s because I’ve worked with LaTeX which is also a markup language and thanks to Knuth and his invention of TeX I can easily type beautiful math and physics (if I insert the package). The thing is that I’ve heard about other math rendering in the computers that was before Knuth invented LaTeX (that’s why he invented it, bc he did not like the previous form of rendering maths on the computer). I think it was through UNICODE or something like that.
Sorry for my iliteracy and my bad english. I may be using incorrect terms and maybe the information is not 100% accurate. What you do think about all this?

If we want web facing pages to render math it’s likely we would need a license to use LaTeX or MathML since it does not come with browsers.
"
2,Why would raw text need a structure?,"FAQ,HTML FAQ",q-a,28,"
Question
Within the context of this exercise which defines HTML, why would raw text need a structure? Doesn’t it already have a grammatically defined structure?
Answer
While raw text might have a grammatically defined structure, this isn’t the type of structure we are referring to here. By carefully marking up the contents of a page, developers can create a hierarchy of information which serves several purposes:

it allows users scanning a site to quickly pick out the most important ideas.
it helps visually impaired users navigate the content of a page using special software.
it helps search engines pick out important keywords that might otherwise get lost in a sea of text.

","
what does raw text mean ??

This question is basically asking: why do I have to put in any code if I just want it to be what laymen would refer to as “regular” text (so, without anything fancy).
The answer is in two parts saying: 1) you need code for everything and 2) why exactly that is.
Hope that helps!

Lets say that it already has a pre-defined structure. The pre-defined structure is basic and simple. To create something more complicated it is better to add codes to change the original structure of text than to use the original one.

ya that is just confusing

ikr its so confusing

Raw text is the text that you are putting onto the page, which needs a structure because that tells it where to go - headings, indentations, subheadings, etc. are all built by the structure that you put the raw text into.

What is confusing about it? Is it the idea of raw text vs structures or the idea of raw texts at all? Think about it this way, when you read a newspaper is all the text the same size or in the same place? No. The “raw text” or writing is formatted with structures like headings and bylines that are of different sizes and in different places on the page. Just like with a newspaper, text on a website needs to be formatted so that it is readable and makes sense.

ok now it makes sense thank you

Thank you for your help 

The reason this seem confusing to some, is mostly because of the “word processor” expectation.
Meaning, if you been using any Office Suite, like MS Office, Libre Office, then you accustome to just typing content on the page and formatting things, then it look nice. Very easy and convenient.
But here’s the thing many don’t know, even word processors like MS Word have hidden/invisible characters on the page.It’s simply disable by default.
We as humans can see something is bold, a paragraph, etc, but the computer don’t.
It only know and do what we tell it do.
Tags allow the browser engine to recognize what you feeding it, so it knows then what it should do with it, and how to display it. consider it a command you giving the browser. You telling it to abide by certain rules/guidelines, instead of getting random results.
It not easy to grasp the concept at first, but click and drag builders also have to add these markup behind the scenes. programming languages have always been how developers give instructions to computers. we just created better software over time that blurred the line between human readable and machine code.

This is very useful, thank you! I am new to coding, and this just clarify a lots of terms and concepts I had problem understanding.

What does raw text actually mean?

redjester91 explains it perfectly above.
I’m just going to cut and paste their words here.



 redjester91:

Raw text is the text that you are putting onto the page, which needs a structure because that tells it where to go - headings, indentations, subheadings, etc. are all built by the structure that you put the raw text into.


Some found it confusing so they further explained raw text here.



 redjester91:

What is confusing about it? Is it the idea of raw text vs structures or the idea of raw texts at all? Think about it this way, when you read a newspaper is all the text the same size or in the same place? No. The “raw text” or writing is formatted with structures like headings and bylines that are of different sizes and in different places on the page. Just like with a newspaper, text on a website needs to be formatted so that it is readable and makes sense.



What has not been mentioned here is that the entire HTML document is raw text. The style sheet is raw text. The script is raw text.

Thanks for providing a very clear explanation!

okay so how does raw text work. and if it doesnt work what do i do

          basically the main function of HTML is to alter and display texts.so the structure of the raw text will alter the lay out of the website/text.
        
wow i just saw this and it helped out thanks dude makes sense.

Context like headings and paragraphs and stuff in that nature.
"
3,This exercise uses the `_blank` value to open pages in new tabs. Does the `target` attribute have other values?,"FAQ,HTML FAQ",q-a,13,"
Question
This exercise uses the _blank value to open pages in new tabs. Does the target attribute have other values?
Answer
Yes, there are 4 different values the target attribute can have: _self, _blank, _parent, or _top. These values specify a browsing context or the environment in which the browser will display a document. To learn about each of these values, check out Mozilla docs!
","
3 posts were merged into an existing topic: Do attributes need to be in a specific order?

What happens when you change the value of the attribute to _self, _parent, or _top? Tried it out in the index.html doc for brown bears but wasn’t able to see a visible difference.

This is a late reply, but to clarify, the only target attribute value that has any effect in a single browser window is _blank, which refers to a new tab or window. These are legacy attributes that apply to frameset, a very uncommon thing in today’s era now that we have CSS. Frames predated CSS.
Also of note, attributes have no order. They can be written in any order, though usually we like to see the id and class attributes out front, and in that order. That’s just for reading, though. The browser makes no distinction of ordering or attributes.

is this supposed to open a new window, or just open a new tab on my browser?

That depends upon how your browser is set. Out the box most browsers default to a new tab.

I am enjoying so much just for reading the top questions below each exercise… that’s really awesome!  :  

you have to make a connection with the attirbute and the class because the selector make a visible page




MDN Web Docs



: The Anchor element
The HTML a element (or anchor element), along with its href attribute, creates a hyperlink to other web pages, files, locations within the same page, email addresses, or any other URL.






what is difference between tab and window in a browser?

Very little. Tabs permit multiple windows in a single browser shell or frame, but each is a separate browser, all the same. The cannot even speak to each other.
In the early days there were no tabs, only new windows. I don’t even remember who created tabs first, NetScape or Mozilla, or the emerging Firefox. Seems they were around when Chrome appeared on the scene.

thank you for clarifying

Yeah totally, I could have specified better. That’s essentially what I meant by it being good practice to make a preferred determination. After all, many links in a given site are just more internal links within the same site, which is the use case I happened to have in mind when I wrote my comment. Absolutely, it is better for user retention to use targeting and have any external links opening in a new tab/window. I just meant to communicate that it’s not like one has to include the target attribute in order to have a link work at all, since it’ll work one way or another without it.
"
4,Why would we want to separate small pieces of content?,"FAQ,HTML FAQ","elements-structure,q-a",30,"
Question
This exercise says that <span> elements are used to “separate small pieces of content”. Why would we want to separate small pieces of content?
Answer
It’s not that we necessarily want to separate content so much as we want to “mark it up” so that we can target it more specifically. There are all kinds of reasons for targeting specific pieces of content. For example, we may wish to use CSS to style the <span> content differently than the other content of a page.
","
One such example is when coding a page with more than one human language.
<html lang=""en"">

and in the body of the document,
<p>Capitalism is predominantly conducted in private hands with the government 
taking a <span lang=""fr"" title=""let do"">laissez faire</span> stand on most 
matters of management.</p>

CSS
span[lang=""fr""] {
  font-style: italic;
  text-decoration: underline;
}


Note the use of the title attribute to provide an English language literal translation when the text is moused over.

Thanks! This kind of Q&A’s is way better to understand with examples like this.

Thank you for this detailed answer.

Sweet! Your explanation absolutely made my day 

thanks for this explanation…very good

very helpful answer.thanks!

MTF duuuuuuuude thanks for that example!

Extremely helpful example. Thanks

 Thanks  lot for this explanation, I'm enjoying very much this course

Agreed - thank you for your example explanation. I’m chuffed I can understand it!

Short and useful. Also, great job for providing example. Thanks

Throwing in with the crowd: That example is excellent and opens up a lot of understanding about things besides just the question at hand, while doing so in an elegant and easy to understand way. Thanks for writing it!

Perfecto, muchas gracias por la explicación!!

Hi! I’m a real beginner, so my question is: Since the text “laissez faire” is included in the code, and the translation was also, what was the point of the “lang=“fr”” within the span tags? Thanks!

To advise the user agent of a change of human language in the text. A screen reader will tell the user that they have encounted a language other than English, and if verbosity is not turned off, will read to them the translation in the title attribute.

Ohh…Thanks for your quick reply! I’ve hit a snag - verbosity? I know what the word means, but as of yet not encountered it in my experience with computing. So this has to do with screen reader integration. Is that where the “verbosity” setting is? Hmm. I think I need to learn a bit more about this.
So verbosity off, and the screen reader just says “Lazy Fair” or verbosity on and it will state aloud that there is a foreign word, and speak the translation?
Sorry if I sound like a total spaz. It’s just that I’m a total spaz.

verbosity, when turned on can be quite chatty, so a lot of users turn it off. In coding, verbosity refers to such things as in depth error message reporting, or it can even refer to code bloat. At any length, there is a lot being said.



 slabz:

So this has to do with screen reader integration. Is that where the “verbosity” setting is?


Yes. But not only screen readers depend upon this meta data, search engines do, too.



 slabz:

So verbosity off, and the screen reader just says “Lazy Fair” or verbosity on and it will state aloud that there is a foreign word, and speak the translation?


I can’t say with certainty. One expects the screen reader will advise of the change in human language, but will not read the title value.

Thank you so much for your help! I now understand that there are more things to consider besides the website just working for common browsers. Something about SEO I also learned, because I guess when needing that data for search engines, they’ll rate the quality of your site higher.
Very cool. Thanks for your help, mtf!




 slabz:

they’ll rate the quality of your site higher


There are over 200 criteria that SE’s use to rate/rank a page/site, with quality being pretty high up on that list.
"
5,What is the point of nesting the <p> element in a <div> element?,"FAQ,HTML FAQ",q-a,34,"
Question
In steps 1 and 2 of this exercise, both <p> elements display in the same exact way. As it doesn’t seem like anything special happened here, what is the point of nesting the <p> element in a <div> element?
Answer
In this case, this is done purely for demonstrative purpose. In the future you will find that <div> elements are often used to group related content. This can serve to give a page some added structure and to allow for more modular styling.
","
It is primarily for the content creator and used to distinguish between paragraphs and sets of content.

Can we use the div element in the following way?
<div>
<body>
</body>
</div>

If we cannot use it then please explain why

no, as we can see in the documentation:
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/body
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/html
body must a child of html, the documentation shows the Permitted content and Permitted parents.

I’m just setting out on learning this myself, but if I’m right, I’d say this is done because a body can have multiple divisions, but divisions cannot have multiple bodies and therefore the multiple divisions must be contained within the body.

everything in the body is whats being shown on the screen on the webpage so having divisions in the inside would make sense right ?

There is a hierarchy of tags in html. The html tag itself is the overall ‘parent’ tag. Followed by:
head which is the header section of the page and then the body that includes everything else. Divs are inside the body tags.

When treated as having meaning, writing a number of paragraphs in a division is a way of telling the source reader that they are all grouped together. We don’t send a baker’s dozen out in the customer’s hands, we place them in a box, with wax paper between the layers so the frosting doesn’t stick to the paper.
Think back to what we learned about writing and outlining of essays going back to grade 8, and how that same process applied all the way through secondary and even tertiary education. HTML is a document just like that essay and the better we outline it, the easier it will be to interpret the source, and eventually present (which is a totally separate concern) the content. We give meaning to the content by how we structure it.

Hello,
Since head and body are siblings, is it correct  to write:
<head>Hello World</head>
<body>
<p>This is a page that.... etc</p> 

</body>
skipping totally <div> that was there for demo reasons?




 tinapapadimitriou:

is it correct to write:
<head> Hello World </head>


No, it is not. HEAD is not a content container. It is reserved for meta data that is not visible to the visitor. All page content belongs in the BODY.
The only visible content in the HEAD is the <title>Hello World</title> which appears in the window’s title bar, or tab, not on the page itself.
The HEAD is where we declare things like what is the document type and root element? What is the human readable language used in the document? What is the character encoding so user agents can parse correctly? What background resources are needed in the parsing and page draw processes and how do they relate to the page? What is the title of the page (already mentioned)? What special cataloging information is required for this document?
<DOCTYPE html>

The above tells a user agent that this has an HTML5 document type, with the root element being, <html></html>.
<html lang=""en"">

The above tells the user agent that the human readable language is English.
<head>
  <meta charset=""UTF-8"">
  <title>Hello World</title>
  <link rel=""stylesheet"" href=""styles.css"">
  <link rel=""author"" href=""http://www.example.com"">
</head>

Above we declare character encoding as UTF-8, the de facto standard adopted by the international web community. It is before the title so that any special characters are recognized and printable. We describe the relation and location of the external resource needed by this document; and, lastly we insert a link to the author’s own page or site. Not required, as such, but I included it as an example for rel, the relation attribute.
As for writing paragraphs directly into the BODY, that may be valid but it is not organized and can be wieldly to work with when it comes to presentation. Having page sections with their own containers makes short work of this, and makes the document easier to read and analyze (by search engines, for example).

I clarified a lot of things with the details that you covered Roy.
Μany, many thanks for your reply!

Errata: The doctype is not in the head, d’oh! And neither is the root element, <html> they can be seen above as being at the very start of the document, though.

OK, thanks for checking on this.

i always though that the point of using the <p></p> was for spacing sentances and or using it to imput words

Markup is for documenting content, not for spacing or presentation.

ohh woops thanks for correcting me

This is pretty late response, but i just want to say that was the best explanation i have ever read  thank you !

Well said.  It’s just like how the human body has multiple divisions: the digits (fingers and toes), the appendages (arms and legs), and the torso.

A more appropriate analalogy would be a tree which can have only one root, and one trunk. It can have many branches, both off the trunk and off the branches themselves. The content (text nodes) would be the leaves.

why do we use the div element and do we need it
"
6,Is it correct to say that the <body> element is nested within the <html> element?,"FAQ,HTML FAQ",q-a,22,"
Question
Is it correct to say that the <body> element is nested within the <html> element?
Answer
That is correct! The <html> tag is the root element of every page and it should always have <head> and <body> child elements. The <head> and <body> elements are siblings to each other and children to the <html> parent.
","
To add to this, there is one other element permitted to be a direct child of <html></html> which is more commonly found in either the <head></head> after CSS links, or in the <body></body> element at the very bottom…
<script></script>

It may appear after the </body> tag, and is valid, though not typical.
Eg.
<!DOCTYPE html>
<html lang=""en"">
  <head>
    
  </head>
  <body>
    
  </body>
  <script src=""""></script>
  <script>
    // JS code
  </script>
</html>


Are elements also functions? or do they fall under both function and variable?




 mcandrewd:

Are elements also functions?


No, they are HTMLElement objects that make up the nodes from which the DOM is constructed. Are not variables, either. Both functions and variables are properties of the scripting language, usually JavaScript, but it could also be Python, Ruby, etc.

i am so confused :(

so <head>, <body> and <script> are all children of <html>, correct?

Yes and no. The convention is to write the script tag inside either/or both head and body. While browsers might accept a script outside of the head/body elements, the specification recommends,

Permitted parents Any element that accepts metadata content, or any element that accepts phrasing content.

The HTML root element can only have two children… HEAD and BODY.

https://developer.mozilla.org/en-US/docs/Web/HTML/Element/html


Do we have HTML tree diagram {memory Diagram}

Last I recall there was one at the beginning of the HTML course.
In general,
<html>
|
<head> - <title> - <meta> - <link> - <style> - <script> - … - </head>
|
<body> - <div> - <h1> - <p> - … - </body>
|
</html>

So the src="" "" part is that how you draw the source code(Java, Python, CSS, etc)
and the  does that part even matter? will the computer not understand it if you use, say Spanish?

The src attribute is critical since that is how we tell the browser the URL of the file we wish to request.
src=""js/script.js""

The above requests the script.js file which is housed in the relative folder, js.

Thanks for all of your insight, man.  Excited to learn!

You have answered one part of the question. But what he is saying is true. If you specify in the <html lang=""en"">, is the html going to “understand” what is written in a .js file in Spanish or another language? Regards, I’ve seen you are the most pro here in Codeacademy :p.




 pa_u_los:

is the html going to “understand” what is written in a .js file in Spanish or another language?


HTML does not have to understand script. The browser uses a different engine to parse the document and build the DOM. lang=""en"" tells the user agent that the human readable language is English.
Scripting uses another engine to parse, interpret and compile script. CSS is also another API. These two operate on the DOM, not the document itself.

does this mean that the script tag and div tag are siblings then?

A sibling relationship has nothing to do with tags. It refers to two elements that have the same parent.




 mtf:

there is one other element permitted to be a direct child of <html></html>





 mtf:

The HTML root element can only have two children… HEAD and BODY.


Hi, I am still confused about these two quotes which seem to contradict each other.  Admittedly, for <HTML> element, the Permitted content are <head> element and <body> element. When the <script> element directly nested inside the <HTML> element, if the <script> element is not considered a child of the <HTML> element, what’s the real relationship between them?



 mtf:

Permitted parents Any element that accepts metadata content , or any element that accepts phrasing content .


BTW, could you please say more to clarify the reason introducing the metadata content and phrasing content? I have noticed that the <script> element belonging to the metadata content and phrasing content.




 mtf:

A sibling relationship has nothing to do with tags. It refers to two elements that have the same parent.


When <script></script> appear in the <body></body>  element, can I assume the <script> element and <div> element are siblings?

Any elements that are both direct children are siblings, regardless what tags they are comprised of.
If we read the specs, we find that even HEAD and BODY elements are optional. We can put our document right between the HTML tags and it will still be valid markup. Not entirely practical on a web facing page, but useful if we are inserting snippets with AJAX. The snippets will be HTML, but lacking a head and body.
When we need to include meta data we will need a HEAD, and BODY naturally follows.




 mtf:

If we read the specs, we find that even HEAD and BODY elements are optional. We can put our document right between the HTML tags and it will still be valid markup. Not entirely practical on a web facing page, but useful if we are inserting snippets with AJAX. The snippets will be HTML, but lacking a head and body.


Sorry, I don’t understand what you explained. It is a little bit general, and I don’t know which question this answer is related to.  BTW, I asked two questions yesterday and you only answered one…
"
7,Why should we use divs if they don't change things visually?,"FAQ,HTML FAQ",q-a,40,"
I don’t see any visual or sectional changes to the text when I add the <div> tags. Is there  supposed to be some change in appearance? If not, what’s the point of this exercise if we cannot see the changes take place during the <div> exercise?
","
div (short for division) allows us to divide our page into different sections, to position this sections. Divs are very useful. The change might not be the most visual one, doesn’t make it less useful.
if we only used text, everything would just be from top to bottom. Look at this forum, imaging where divs might be (to divide different replies for example), or to place the scroll bar on the right hand side of the page and staying there even though we are scrolling through the replies.

Thanks for the thorough explanation! I understand the utility of div now, even if the visual changes aren’t readily apparent.




FAQ: Learn HTML Elements - Intro to HTML - Divs


div (short for divider)


Which implies a border or horizontal rule.
Short for division, implies a container.
DIVisions have no height, but come with width: 100% by default. Their height grows automatically as content is inserted. They can be set to a fixed height that triggers a scroll bar when the content overflows the allowed container size.

Thanx for this reply, it’s helped to increase my undertanding of the “div” tag

Thanx mtf for this angle of explanation concerning “div” tags. am really learning… yaaayyy

Thank you mtf, I am getting a better understanding of “containers”. Neat!

Most visual changes and usage of the  tag appear with CSS code, however, I find the <div> tag is useful also in coding only in HTML. It’s usefulness in html code come to group HTML elements for easier code readability. But a comment would do the same goal, so I’m not really sure.
Regardless, here is an example:
<div>

  <div>
    <h1>Book of the Brown Bears</h1>
  </div>

  <div>
    <h2>Species</h2>
    <h3>Polar Bears</h3>
    <h3>Mountain Bears</h3>
  </div>

  <div>
    <h2>Features</h2>
    <h3>Small Rounded Ears</h3>
    <h3> Shaggy Hair</h3>
    <h4>Short Tails</h4>
  </div>

</div>



Very helpful reply. Thank you

You will appreciate the importance of divs when you start targeting sections to style…even right inside HTML, we can’t thank divs enough. I’m sure you’ll discover this yourself down the way. You will learn of IDs etc. Don’t worry. Just continue the lesson in the understanding that divs are used for sectioning elements and later targeted and their children and descendants styled together as a unit/section.

Nice example! Thank you so much!

What a useful comment… Thank you.

Are divisions used as the indentations of a new paragraph like in an essay? If not? Why are they necessary in the code? I’m new and I just want to know please.

Thanks for this example! I am new to coding and now I understand why divs make a difference. Great example!

No, divisions aren’t strictly necessary, as they have no visible appearance. What they do is mainly to help you style the page better.
For example, you may want to contain part of your page in one <div> tag and another part in another <div> tag. If you do this, you can give each <div> a unique id to help you style elements in different <div>s differently.
I hope this helps!

The divisions can also be used for positioning (unless that is what you mean by styling?)
if you make a website, to get the look you are after, you most certainly need divisions, for the structure, layout and positioning.

Yeah, I was including positioning in styling. Thanks for clarifying!

Thank you very much!
Very good explanation.

Merci pour votre explication ! très utile pour mieux comprendre.

This proved quite useful , thanks !
"
8,Does the <li> tag always have to be nested within the <ul> tag?,"FAQ,HTML FAQ",q-a,9,"
Question
Does the <li> tag always have to be nested within the <ul> tag?
Answer
The <li> element can be a direct child of either the <ul> or the <ol> elements but it should never exist outside of either of these parent elements.
","
the  tag will be placed inside the  tag because the  tag mean listed items  and that helps you organize your unlisted items.  
 help organize all of the items after the unlisted items.



what is an <ol> element?

SInce ‘ul’ is unorganised list, ‘ol’ must be organised list IMO.

ul stands for “Unordered List” and ol stands for "" Ordered Lists"" except that each list item is numbered.
while li element will show the lists like this:

List item 1
List item 2
List item 3

A ol element will show the lists like this:

List item 1
List item 2
List item 3





 rubyslayer42889:

should never exist outside of either of these parent elements.


The Living Standard also includes the <menu></menu> element, which also has LI as direct children.



 sarahzeidi7926712521:

each list item is numbered


By default they are numbered from 1 to n, but we can also specify letters, lower or upper case, or Roman numerals, also upper or lower case. We can also specify the starting character.

https://html.spec.whatwg.org/multipage/grouping-content.html#the-ol-element

Scroll down that page to find UL, LI, and MENU.

I notice that I can leave aside the end tag for list items () and everything seems to work fine. Is it really necessary to type an end tag for list items?

Best practices recommend including both tags; however, W3C has gone along with omitting the endtag. This also applies to paragraphs. Let the situation dictate, and keep it localized and well contained.

Hi! Why does it always have to be nested, or what would go wrong if it isn’t? I played around with the code and previews in the Elements and Structure exercise in the Introduction to HTML lectures, and figured that UL means that a list is coming up and indents the succeeding text, while LI makes a bullet point for the text. By this, if you were to create an unordered list that you wanted sitting flush with the rest of the text rather than indented, you can make a list with the LI tags, and omit the UL tag, it seems? With this, why would it be bad if we didn’t list LI tag inside of the UL tag?
Thanks!
Screen Shot 2020-07-02 at 10.26.23 PM|690x431
"
9,"How does the browser know what language other documents are written in? For example, why doesn’t css need a doctype?","FAQ,HTML FAQ",q-a,12,"
Question
How does the browser know what language other documents are written in? For example, why doesn’t css need a doctype?
Answer
DOCTYPE declarations are only required for html based documents. Other JavaScript or CSS files are actually loaded into the page with <link> or  tags. These tags signify the file type to the browser thereby allowing the browser to properly parse the file.
","
Why is DOCTYPEtag needed to identify the file is HTML when the file already starts with 
and ends
</html>
Isn’t this requirement tautological?

There are different doctypes for different versions of HTML—all of which still use the .html file extension and the <html></html> tag pair. For the current version, the doctype declaration has been simplified to:
<!DOCTYPE html>
but this is still telling the browser what version is being used (HTML5). If you were to look at a doctype on an older HTML document, then you might see a longer doctype like:
<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
Even though the HTML5 doctype declaration is dramatically simplified, it is still required so that the browser knows which version of HTML is being used. Once it knows, then it is able to render the document in “strict mode.” If no doctype is declared, then it can still tell that the document is HTML based on the file extension and <html></html> tag pair, but since it does not know which version of HTML is being used, it renders the document in “quirks mode.”

Very useful & nice instrections

There are not only different doctypes, for example if an HTML document happens to be written in HTML 4.01 or in XHTML, but the doctype is also a standard that lets the browser know that the following is an HTML 5 document. It just gives it a little help.
In fact, you will find that the browser will usually display the page just fine, even without the doctype in it. But just because it works, doesn’t mean it is right. Besides, that it can have some unforseen issues, as each browser goes different when it comes to how to interpret elements, tags, style, etc. when it is not properly declared.

why does’nt the doctype show anything on the screen

Because it is not meant for the screen, but for the user agent. It’s not even in the HTML. It tells the browser the ROOT ELEMENT, <html></html> which is where the HTML is. The part we see on the screen is all in the BODY element. Everything in the HEAD is metadata to help with parsing and indexing.

I just want to second mtf’s explanation as that is how I interpreted it as well.

This really explains it, nice!

CSS and JavaScript are used within a HTML document for styling and calculations, however the document remains an HTML document. The doctype simply describes what HTML you are using in the document.
 indicates the current standard HTML (HTML5). CSS and JavaScript are then used within the HTML document without changing the sort of doctype it is.
        
This might sound like a silly question and off topic but would the DOCTYPE HTML declaration be the parent of the the head element?




 dev_biker:

be the parent of the the head element?


No, it is not even HTML. The document root is the <html/> element, which can have <head/> and <body/> elements as its direct children.
"
