,Title,Categories,Tags,Replies,Post,Comment
0,[README] Learn the Command Line,"Get Help,Command Line",,2,"
Welcome to Learn the Command Line Pro

Command line is a powerful and precise mouse-free tool for interacting with a computer; it is often deemed near-essential for accomplishing advanced coding tasks. This forum category covers broader discussion about command line related topics.
This course contains the following Sections/Lessons:

Navigating the File System

Navigation


Viewing and Changing the File System

Manipulation


Redirecting Input and Output

Redirection


Configuring the Environment

Environment


Bash Scripting

Learn Bash Scripting




Topics in this course, By section:

Navigating the File System
Viewing and Changing the File System
Redirecting Input and Output
Configuring the Environment
Bash Scripting

Projects in Command Line

All Project topics belong in the category #project
FAQ’s
View all
Q & A’s
View all
More resources from Codecademy
Module Key Concepts

Navigating the File System
Viewing and Changing the File System
Redirecting Input and Output
Configuring the Environment
Bash Scripting

Articles:

Command Line Interface Setup
Command Line Interface
List of Command Line Commands
List of SQL Commands

","
"
1,Unable to print the correct working directory in the right location,"Get Help,Command Line","general,navigating-file-system",6,"
I’m on the Bicycle World project for cmd and it is asking me to:

Print the working directory.  If you ever get lost, you can return to this directory using cd.

It should output
/home/ccuser/workspace/bicycle-world-ii

But when I run
pwd

or I try to navigate to /home/ccuser/workspace/bicycle-world-ii, it fails saying no such file or directory.  Did I miss a step somewhere?
","
You ran pwd entirely by its self?
How about using cd .. to try moving back a directory?

@8-bit-gaming
here is the hint:
image613×661 26.1 KB
However here is what I’m entering (exactly as the hint states)
image1197×475 13.9 KB

Check your spelling on the directory you are trying to go to.

cd /home/ccuser/workspace/bicycle-world-li
                                        ^



Classic!  Well I’m more aware now thank you 

A single mistyped character can certainly get in the way.
I have spent upwards of half an hour trying to find an error in my code, just to find one mistyped variable 
Sometimes you gotta step back and look for the small things.
"
2,Https://www.codecademy.com/courses/learn-the-command-line/projects/lingua-franca,"Get Help,Command Line",bash-scripting,52,"
Okay I can’t get any meaningful help here.  Where do I go to get my money back?
When you ask a question, don’t forget to include a link to the exercise or project you’re dealing with!
If you want to have the best chances of getting a useful answer quickly, make sure you follow our guidelines about how to ask a good question.  That way you’ll be helping everyone – helping people to answer your question and helping others who are stuck to find the question and answer! 
https://www.codecademy.com/courses/learn-the-command-line/projects/lingua-franca
","
Hello! You can contact the help centre for billing questions.

Well I got my answer.  I can’t get my money back.  No answer from the “contact us” page.  Have I wasted $240?




 progresspanda:

Have I wasted $240?


I’m not sure-I’m only a user like you-but if you’ve paid for it, you could continue with the path you’re doing. If you have any questions, the forums are the best place to ask! @SuperUsers, would you agree?

Hi @progresspanda
The help forums are run by volunteers.
What is your specific question about the command line project that you linked above? Perhaps someone can chime in and help…




 progresspanda:

No answer from the “contact us” page.


Do be paitent. I believe it usually takes about 48 hours to get an answer. Also remember that there may be many requests that come in every day, so yours may not be the first one on the list.
Though that does not mean they won’t answer.
I second @codeneutrino and @lisalisaj, we are volunteers, but we help to the best of our ability.
What question do you have about the command line?




 codeneutrino:

if you’ve paid for it, you could continue with the path you’re doing.


I also agree, if you spent that amount than I believe you have purchased the whole year of pro.
If so, than there are many courses and paths available to you if you have an interest in them.

Yeah but if I can’t learn one thing faster than this it’s not of much value.
 source ~/.bash_profile 
Welcome, Joe Nertz
 alias pd= “pwd”
bash: alias: pwd: not found
$ alias pd= “pwd”
environment lesson.   this always happens when I try to write an alias.  I did it right because I copied and pasted the command.

It looks like there’s a gap (at least in what you used in that message) between the equals sign and what you are assigning which means it will treat it like a command. Get rid of those gaps.

 pwd
/home/ccuser/workspace/music
 alias pd=“pwd”
$ alias pd=“pwd”
no gaps this time.  hit save and it repeats the last line as you see here

Is that after using source ~/.bash_profile ?

yes
 source ~/.bash_profile 
Welcome, Joe Nertz
 alias pd= “pwd”
bash: alias: pwd: not found
 alias pd= ""pwd""
bash: alias: pwd: not found
 alias pd=“pwd”

 pwd
/home/ccuser/workspace/music
 alias pd=""pwd""
 alias pd=“pwd”
$ alias pd=“pwd”

Exactly how does your bash profile look? Is that all on a single line? Each new command should be on a newline if not separated by ;. Try wrapping it in triple backticks like so if you post it to the forums, ta-
` ` `
script goes here
` ` `

no, it’s not on a single line.  that’s just copied and pasted to make it quick.  all the lines start where you’d normally expect them to, like after the $ sign in most cases

What does the .bash_profile file itself look like? It should be roughly like below (nano editor) but with the relevant pd alias and such.
profilesnip816×292 2.07 KB

this is what I did at the top 
 source ~/.bash_profile 
Welcome, Joe Nertz
 alias pd= “pwd”
bash: alias: pwd: not found
that’s exactly what it looks like

or rather like this :
source ~/.bash_profile
Welcome, Joe Nertz
alias pd= “pwd”
bash: alias: pwd: not found

It looks like there there still a single whitespace in that file between pd= and “pwd” (pd= ""pwd"" gives me an identcal warning). Can you edit the file again and remove that whitespace so that the second line reads as alias pd=""pwd"" and try source again?




 progresspanda:

source ~/.bash_profile


 source ~/.bash_profile
bash: /home/ccuser/.bash_profile: No such file or directory


Rather than hunt it down perhaps it’s easiest to rewrite that particular file at the given location.

I don’t understand…
"
3,Setting up SQLite on Mac - .schema not working,"Get Help,Command Line",general,6,"
https://www.codecademy.com/articles/what-is-sqlite
I am on a mac. As per linked article, downloaded and installed sqlite. Downloaded and installed acs-1-year-2015.sqlite database as instructed. All saved to desktop (in a folder titled SQL Related).
Changed directory to Desktop (cd Desktop) from terminal. That is perfect.
Theresas-iMac:Desktop theresaraegay$ was my command line and I typed
sqlite3 acs-1-year-2015.sqlite and clicked enter.
This came up. I think it is right?
SQLite version 3.28.0 2019-04-15 14:49:49
Enter “.help” for usage hints.
sqlite>
So, as directed, I typed .schema. Nothing happened.
I typed .help and received a full list of help areas so it is working.
Thoughts? Not sure what to do if I cannot see schema of DB.
Thank you -
","
Hi, welcome to the forums 
It’s been a long time since I’ve done this setup from CC (but I do use Sqlite so I can help a little).
This might be a silly question, but are you sure the file has a schema? If you have DB Browser (there’s a version for mac) you can visually browse the database to verify this.

@object9507334711,
It sounds like you probably created a database called acs-1-year-2015.sqlite rather than opening the one you have.  That would mean there are no tables to show, and hence, no schema.
The reason this would happen is because when SQLite tries to open a database file, if that file is not where you tell SQLite to look, SQLite will create a database file with the name you supplied at that location.  So, always make sure you open your command line to the same folder as your database file in order to avoid this in the future. 

That makes sense, I didn’t think of it not being in the same folder … 

I am following the directions from that linked page. He says to type it and he shows what happens when he does. Mine doesn’t.

Like @el_cocodrilo points out it’s probably a file location issue then.
A way you can make sure you’re on target it to type ls in the directory where you are and confirm that the file you want to open is there. I would re-download the file at this point to make sure that it’s the original and not one that sqlite created by default. (Conversely, you can check if it’s the right one with DB Browser, again, highly useful tool).
"
4,"Problem with ""grep -R shell command","Get Help,Command Line","general,redirecting-input-output",2,"
I put grep -R Arctic multiple times in
https://www.codecademy.com/courses/learn-the-command-line/lessons/redirection/exercises/grep-i
but it doesn’t put a tick mark rather shows wrong with a cross.
How to fix it?
","
You could try wrapping the expression with quotation marks. Singles would do for this query.
Alterantively did you use the absolute path as per the instructions? Navigating to that directory and using grep -R will only give you the relative paths from your current working directory.
"
5,Command Line: Attica project,"Get Help,Command Line",,11,"
I’m at the first task in attica.  I type pwd and nothing happens.
When you ask a question, don’t forget to include a link to the exercise or project you’re dealing with!
If you want to have the best chances of getting a useful answer quickly, make sure you follow our guidelines about how to ask a good question.  That way you’ll be helping everyone – helping people to answer your question and helping others who are stuck to find the question and answer! 
https://www.codecademy.com/courses/learn-the-command-line/projects/attica
","
Hey there @progresspanda!
The project works fine for me.
I typed pwd and /home/ccuser/workspace/clothing was printed.
My first thought would be to check what browser you are using. Codecademy recomends using Chrome or Firefox. Troubleshooting Guide

Did that. No difference in result.
4CE153FFE0964963A80F886FAC06FB5E.png708×1 82 Bytes

Very odd indeed, have you tried everything in the Troubleshooting Guide?
Such as clearing browser caches and seeing if any extensions are interferring with Codecademy.

I’d be very interested in knowing where this “troubleshooting guide” is.
However, I’m far more interested in the “Contact Us” page.   I’ve already ascertained that I can’t get my $240 back but the least they deserve is a nasty letter.  How do you learn anything when it glitches so much?

I posted a link to it a few posts back,  here it is again though: Troubleshooting

How long ago did you contact CC? If I remember correctly they attempt to respond within 48 hours.

As I said earlier, I cannot find any such thing as a Contact Us page.

The link to the help page is located in the footer on the main page.
You can click this link though.
In the top right corner is a blue button that says ‘Contact Us’

I found the link to CC just now. Now I can take it up with them and it won’t be pretty. Thanks very much for your assistance.
4CE153FFE0964963A80F886FAC06FB5E.png708×1 82 Bytes

Your welcome.
Happy to help
Though I will say I have used their customer support before and can give high praise to them.
They were quick to fix my problem, and very friendly.





Https://www.codecademy.com/courses/learn-the-command-line/projects/attica Command Line


    I posted a link to it a few posts back,  here it is again though: Troubleshooting 

How long ago did you contact CC? If I remember correctly they attempt to respond within 48 hours.
  

 source ~/.bash_profile
drop dead
 md =“mkdir”
$ alias md= “mkdir”
bash: alias: mkdir: not found
"
6,Surge Command Not Found,"Get Help,Command Line",,5,"
I am running into an error when using the surge command in my terminal. I ran npm install --global surge in my terminal and everything looks okay, but when I run the command “surge” it comes back saying command not found.
The other npm packages on my comp work fine. I tested create-react-app and no errors.
Thanks!!
","
Me also. If anyone finds out please post.

Actually I just had the idea of using
npx surge

as the command because npx is the new package executor. We installed but then needed to execute.

Nice solution @alangervin3193293788 !!
Cheers

I know this was marked as solution but I wanted to correct information I posted and I don’t see an edit button on my answer unless I delete it. npx actually stands for node package executor not new package executor.
"
7,Touch Command,"Get Help,Command Line",general,2,"
Hi!
Is the touch command only meant to create new .txt files in the current directory?
Can it create files of other extensions (e.g. xls (Excel))
Thanks in advance!
","
Of course it can. Just try it in your terminal and see all the freedom it grants! 
"
8,Https://www.codecademy.com/paths/computer-science/tracks/cspath-development-skills/modules/learn-the-command-line-navigation/projects/bicycle-world,"Get Help,Command Line",general,7,"
When you ask a question, don’t forget to include a link to the exercise or project you’re dealing with!
If you want to have the best chances of getting a useful answer quickly, make sure you follow our guidelines about how to ask a good question.  That way you’ll be helping everyone – helping people to answer your question and helping others who are stuck to find the question and answer! 
How do I get to where I left off?
","
How do I get to where I left off?

Hello @progresspanda and welcome to the Codecademy Forums!
Please elaborate on what issues you are having and link the exercise you’re having trouble on.

Thanks for your help. I’m trying to get to the last lesson I was working and can’t see a way to navigate there. Also, what does it mean when the instructions say “echo so and so”?
4CE153FFE0964963A80F886FAC06FB5E.png708×1 82 Bytes

When you go to your dashboard, you should see start on the course showing, and clicking on it will bring you to the lesson you left off at :



 progresspanda:

Also, what does it mean when the instructions say “echo so and so”


Could you elaborate on this more please?

I’ll have to find it again so I can give you a link to it.

To get to the last lesson, you should head to the course’s webpage (https://www.codecademy.com/learn/learn-the-command-line) and from there you can access any lesson, quiz, or freeform project in the course.



 progresspanda:

Also, what does it mean when the instructions say “echo so and so”?


Echo is a command that, if I recall correctly, will be explained at some point in the course. It takes in string(s) as input and outputs (echoes) them as standard output, which will be explained in the Redirection lesson. For now, you can check out the link below.


en.wikipedia.org



echo (command)

 In computing, echo is a command that outputs the strings it is being passed as arguments. It is a command available in various operating system shells and typically used in shell scripts and batch files to output status text to the screen or a computer file, or as a source part of a pipeline.
 The command is available in Multics, TSC FLEX, MetaComCo TRIPOS, Zilog Z80-RIO, Microware OS-9, DOS, Acorn Computers Panos, Digital Research FlexOS, IBM OS/2, Microsoft Windows, ReactOS, HP MPE/iX, Kolibr...





"
9,When and where is the “chmod +x script.sh” command really required?,"Get Help,Command Line",general,1,"
When I started the LEARN BASH SCRIPTING section of Learn the Command Line, they told me I needed to run chmod +x script.sh so the script could execute, but in this module: https://www.codecademy.com/courses/learn-the-command-line/lessons/learn-bash-scripting/exercises/conditionals
I was able to execute script.sh without typing that.
",
