,Title,Categories,Tags,Replies,Post,Comment
0,Where can I learn Languages Codecademy Doesn't teach?,"FAQ,General Coding FAQ",,20,"
This is a copy of a post I originally had in Codecademy Forums years ago.
I thought I would post it again so people can benefit from the linked material; as it was made so long ago CC has since made some of the courses listed such as SQL and Java but for completeness I will leave these sections in so people have additional material they can use.

If you use any other good sites add them to the list, this post is a wiki so click on the little green pencil in the top right to add to the list. 
Thanks
Alex C

This is a great list of resources for learning languages we don’t (yet!) teach, compiled originally by Patrick. Have others? Post them below!
C/C++
C++ Tutorial from cplusplus.com
C and C++ Tutorials from cprogramming.com
Learn C the Hard Way
TheNewBoston’s C++ Tutorials
Learn C interactive tutorial
Dev-HQ
C#
Microsoft Developer Network (MSDN) C# Tutorials
MSDN Channel 9 C# Fundamentals Tutorials
C# Station Tutorial
Objective-C (iOS and Mac)
Objective-C from Cocoa Dev Central
Apple’s Objective-C intro (you’ll need an Apple Developer account, it’s free)
Stanford CS193P Look under “more from Stanford” for iOS 5 updated versions. Also covers MVC basics that some have expressed interest in.
TheNewBoston’s Objective-C Tutorials
Haskell
Learn You A Haskell
Try Haskell
Java
Stanford CS106A Awesome class. It covers Java but more importantly it covers program design theory that many people have asked for. It can be followed up with CS106B and CS107 also available on that website, for more theory combined with (non-Java) practical.
TheNewBoston’s Java Tutorials
Oracle’s Java Tutorials
Practice-it Java practice
PHP
Now on Codecademy!
PHP Bounce (Interactive in the vein of Codecademy)
PHP Academy
TheNewBoston’s PHP Tutorials
VB.NET
MSDN Channel 9 VB Fundamentals Tutorials
SQL
Stanford’s Introduction to Databases via Coursera
SQL The Hard Way
W3 Schools
Markdown
Eherrera Markdown Tutorial
Agea Markdown Tutorial
JacobSwain Markdown Tutorial
Multiple Languages
Programr (too many to list)
CodingBat (Java and Python)
Marakana Bookshelf (too much to list)
Marakana’s Youtube channel (more advanced but great, too much to list)
WiLDacademy
The New Boston
Tutorials point
Multi Language Doc’s
Almost Everything
Free books list on GitHub
A quick shout out to those who contributed the original links. Thanks guys.

","
Just Saying SQL Is thought in Codecademy now




 alexcraig:

as it was made so long ago CC has since made some of the courses listed such as SQL and Java


@amanuel2 I know I just did it for completeness as I mentioned.

Here are three Markdown tutorials. I know, not a programming language, but it is useful.



CommonMark Discussion – 30 Jun 15



Markdown Tutorial contest feedback
Winners have been selected!  First, thanks to everyone who participated – the entries were all of very high quality in my opinion!  First Prize 🏆  http://eherrera.net/markdowntutorial/ by eh3rrera   all 16 books in my recommended reading list, or the...






Added them in 



C tutorial
Java tutorial

Thanks alex for showing me programmr.  I’ll be using it right alongside codecademy.

C++ Definite Book/Viedos Guide List:
https://discuss.codecademy.com/t/c-learning/40880/1

Do you know of any free websites that cover Swift? (besides youTube  )

Not seen that many free ones around and not tried any myself.
Been able to find this though:


Bloc



Bloc | Online Programs in Web Development, Mobile Development, and Design
A free iOS programming tutorial using Swift. Get started with Xcode, Swift, and the iOS SDK as you code your own version of Tetris.





And a free trial at treehouse:
https://teamtreehouse.com/tracks/ios-development-with-swift-20

Awesome thanks a lot  I will stick with youTube tutorials until I find some good sites that teach it 

I know a good website to learn all sorts of coding from.
https://www.sololearn.com/Courses/
That’s a direct link to it, there are plenty of courses there. It’s helpful for beginners, it’s where I started from. I’ve completed all their courses.

I also found this basic website that teachs stuff for web development. HTML, CSS, Java, PHP, etc. While most of the stuff it teaches Codecademy also teaches, it does teach some stuff that isn’t available to learn here yet.
http://www.w3schools.com/
I hope you all find it helpful.

Some things are outdated on that site, be wary of that.

That is true, but any information may turn out useful. There are still some things on that site that isn’t taught here yet. I haven’t found the “perfect” free teaching thing everyone looks for, but at least we can put together all our knowledge from multible learning programs.
I would like to point out that you shouldn’t pay for their certificates, just go through it if you would like to learn the basics. It is a little out of date.

Another place.



udacity.com



Course Catalog | Udacity
All Courses and Nanodegree Programs






It also teaches Responsive Website Design, a very important thing to learn.

A post was split to a new topic: Chatbot… thoughts?

"
1,FAQ - Free resources to train your programming skills,"FAQ,General Coding FAQ",,6,"
Practice makes perfect - following this age-old saying is very important for a programmer. The more problems we practice solving in a language, the more perfect our skills in that language become.
Therefore, here are a number of free and useful sites - where you can train in a number of real-world problems, learn new algorithms and compete with people across the globe:

CodeWars
CodinGame
Hackerrank
CodeChef
Sphere Online Judge
TopCoder
CodingBat

CheckIO - only Python

","

A post was split to a new topic: How much Swift could I learn in 2 weeks?

Cool, that helps a lot.




 gaurangtandon:

o


Oh
Thanx fot these resources - I think that these resources can help me with studying!

Thanks for the list! Codewars looks really interesting, especially for teaching beginners.
"
2,About the General Coding FAQ category,"FAQ,General Coding FAQ",,1,"
This category is for guides and helpful resources on programming topics in general where they are not otherwise covered by the language or course-specific guide categories.
",
3,What kinds of problems does a data analyst solve?,"FAQ,General Coding FAQ",q-a,10,"
Question
In the context of this lesson, what kinds of problems does a data analyst solve?
Answer
The types of problems that data analysts work on can depend on different things, such as the context of the field they are working in, which can include finance, e-commerce, real estate, and many different fields that data plays an important part in.
For example, in the context of business, some common types of problems that data analysts work on are discovering trends in the data to choose the best course of action and strategies to provide the most benefit to a company.
Or, in the context of e-commerce companies, data analysts may try to figure out what ads to show that will have the highest click rate, based on user habits and preferences.
In addition, data analysts in the field of real estate may be determining the price of houses in 5 or 10 years from now, based on current data and trends.
","
hy, a question please!!
what is the most important types of company recruiting data scientist ( is it banks and insurance company) ???

          the beast will shine and then ill be the best person in the world.
        
Are there any freelancing opportunities in Data science ?
And , what is difference between Data Scientist and Data analyst?

@prateekjain015133619 am still in my discovery phase too but in a lay man’s language this is how i differentiate the two; Data Analysts have the skills needed to communicate “Here’s what’s happening with the data” and Data Scientists have the skills needed to communicate "" Here’s what’s happening with the data, what may happen in the future, and what we might want to do with it.""  Hope this is helpful.

Yes Kaggle hosts Kaggle Competitions where several people sign up to compete to win a monetary prize to solve real world problems or come up with solutions for companies that range from small startups to large companies like Google etc.

Every company is looking for data scientists. Especially companies whose contracts consist mainly of govt contracts.

The type of problems that can be solved using “big data” based analytic methods deal primarily with demographic study based issues. These issues cover such things as indicate how a particular group of people in a particular area will vote, what they will shop for, what their house hold incomes are, how much education they will most likely have, how long they will live on average and the types of medical problems they are most likely to develop in their life time. These are but a small selection of the possible uses of the results of “big data” analytic methods attempt to answer by using statistical mathematical methods of analysis.

Would a UX Quantitative Researcher have similar skills as a data analyst/scientists?

you tell the differences very goood
"
4,Guide: What is a Symbol?,"FAQ,General Coding FAQ","resource-wiki,guide",1,"

Codecademy Community FAQs on General Coding Questions.png1000×208 146 KB

What is a Symbol?
A symbol is anything, really, that can stand in for something else.
pi is the symbol for the ratio of a circle’s circumference to its diameter, an irrational.Archimedes
phi is the symbol for the golden ratio, a + b / a = a / b, also an irrational. Michael Maestlin
In programming we use symbols to represent whatever we want them to represent, they’re called variables.
MY_SYMBOL = ""Whatever I want it to represent"".
",
5,FAQ: Functions - Functions,"FAQ,General Coding FAQ",,3,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Functions” exercise from the lesson “Functions”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn How to Code
FAQs on the exercise Functions


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
 Just notification- I was surprised there's no option to move hamburgers, so they just fall  on one another

Just a thought- as someone who works in a burger shop, typically we put the condiments down before the burgers.  For example, bread, pickles, burger, then bread.
"
6,What are some ways that machine learning is applied in the present?,"FAQ,General Coding FAQ",,6,"
Question
In the context of this lesson, what are some ways that machine learning is applied in the present?
Answer
Although it is not quite 2049 yet, as in the exercise’s narration, the applications of machine learning are already impacting the world. Facial recognition has been around for some time and is constantly becoming more accurate. Self-driving cars, and in the near future self-driving flying cars, are already a reality and improving every year. Furthermore, recommendation engines have been applied in video streaming services, social networks, and e-commerce sites, and is getting more precise.
In addition to these, machine learning applies to many other areas. This includes healthcare, such as for the identification of illnesses based on patterns in symptoms. GPS navigation systems utilize machine learning to predict traffic patterns and provide the best routes. Email services utilize machine learning to identify spam or malware. In addition, virtual assistants such as Google Home, Amazon Alexa, and Apple’s Siri apply machine learning to learn user preferences in order to better assist them.
","
I was in a lecture and i learned that it can be utilised to monitor the progress of a building and how it was progressing so that the commissioner of the building did not have to send anyone to see if going to meet the deadline of when it was completed.

I suppose it could be used this way, assuming there were some automatic collection of certain data points on site. Do you have more details on this specific application?

It can be used in educational institutions to help students better understand the concepts and empower student future.  It can be used in healthcare, finance, etc etc… the list go on never end

If you drive a car in just about any major city in the world you will be experienced with machine learning, though might not realize it. Traffic control is a major concern in any urban metropolis. Machine learning helps those systems learn from traffic flow patterns so intersections can be better controlled to accommodate the direction(s) with the greatest traffic load.

Thanx for explaining @mtf
"
7,What else can we do with the fill_between function?,"FAQ,General Coding FAQ",q-a,3,"
Question
In the context of this exercise, what else can we do with the fill_between function?
Answer
In addition to drawing lines with shaded error as shown in this exercise, we can use the fill_between function to do several different things.
One is drawing multiple lines with shaded error on the same graph, so we can see more information or compare different plots.

multipleShadeds.png685×532 44.2 KB

Another thing we can do is draw the lines directly on top of other lines, where the top of one plot is the bottom of another. This is somewhat similar to the stacked bar chart.

stacked.png731×567 56.4 KB

We can also fill in areas where plots differ, for instance like the following.

In addition, you can also use fill_between to show the area under a curve, by simply setting all the bottom bounds to 0’s.

655c8d27d542e5ad7cf67989b72667b6944a780e.png811×645 13.3 KB

","
Hi there!
It seems like some of the images are not loading.

Wow there’s so much we can do.
"
8,Concat Array (n-Dimensional) without actualy using concat,"FAQ,General Coding FAQ",,7,"
Hello Folks,
I’m having a hard time to concat Array (n-Dimensional) without actualy using concat (for training).
const multiArray = [[1,2,3],[4,5,6,[6,7,8,],[7,8,9]],['2','3','4']];
let newArray =[];
function readArray(input,output){
  for (let i=0; input.length>i; i++){
     if (Array.isArray(input[i]))
     {
      readArray(input[i],output) 
     } else {
        output.push(input[i]);
            }
   } 
}
readArray(multiArray, newArray);
console.log(newArray) //[ 1, 2, 3, 4, 5, 6, 6, 7, 8, 7, 8, 9, '2', '3', '4' ]

This is what I got so far, it works fine but is gritty, because i have to use a hoisted scope for the new array and giving it to the parameters. Instead i’d like it as the return value [newArray] - any Ideas?
As this is a recursive function I do not know where to return and how to merge the Arrays from earlier recursive steps.
","
Just thinking on this, one conclusion I’ve drawn is that the only way to not use a global array is to return an array. That means using a call stack. Each recursion needs to return something, and a base case will return to the caller, which will wind down the stack. The net result will be the flattened array.




 mtf:

which will wind down the stack


Thanks for sharing your thoughts, currently I’m learning the basics for JS - how to put it in the call stack and using return without stopping the function in its track?
If there is some method/function like “jmp” to an anchor or line i could create the recursion without recalling the fuction, thus ending it only once with return.

Recursion is a rather advanced topic that may best be explored somewhere down the road when all the basic concepts are cemented in your thinking. That being said, let’s consider a recursion for Factorial…
function factorial(n) {
    if (n < 0) {
        return 0;
    }
    if (n === 0 || n === 1) {        // base case
        return 1;
    } else {
        return n * factorial(n - 1)  // recursive case
    }
}

console.log(factorial(7))            // <- 5040

There are other topics on recursion in the forums which may help illustrate and explain the above, and the concept in general. The thing to note is that every case returns something, namely another call (except for the base case).

Hello, @web4547361878.
You could nest a function within a function like so:
const flatten = arrayToFlatten => {
  //flattens an array of nested arrays regardless of nesting levels
    
    const flatArray = []
    
    const flat = arr => {
      for(let e of arr) {
        if(Array.isArray(e)) {
          flat(e)
        } else {
          flatArray.push(e)
        }
      }
    }
    
    flat(arrayToFlatten)    
    return flatArray
}

//Test
const myArray = [[1,2, [3, 'four', ['five', false], true], 8], 'nine', 10, [11, 12, [13]]]
const myFlatArray = flatten(myArray)
console.log(myFlatArray)

Output:

[ 1, 2, 3, ‘four’, ‘five’, false, true, 8, ‘nine’, 10, 11, 12, 13 ]


Thanks for this hint, the nested function works fine. No more hoisted variables, and a clean output.
could have thougth of this earlier.

This topic was automatically closed 18 hours after the last reply. New replies are no longer allowed.
"
9,Guide: A Zero Value,"FAQ,General Coding FAQ","resource-wiki,guide",1,"

Codecademy Community FAQs on General Coding Questions.png1000×208 146 KB

A Zero Value
What is nothing?
Today we can count on new technology year on year; but, there was a time when technological change occurred over centuries. The discovery of zero had a profound influence on the advancement of mathematics.
When I was a kid in grade school we were told that “zero is undefined”. I still go along with that. It’s the only number we cannot assign a unit to. Nothing from nothing leaves nothing. There were no centimeters, there, Sir!


en.wikipedia.org



0

 0 (zero) is both a number and the numerical digit used to represent that number in numerals. The number 0 fulfills a central role in mathematics as the additive identity of the integers, real numbers, and many other algebraic structures. As a digit, 0 is used as a placeholder in place value systems. Names for the number 0 in English include zero, nought (UK), naught (US) (/nɔːt/), nil, or—in contexts where at least one adjacent digit distinguishes it from the letter ""O""—oh or o (/oʊ/). Informa





Numerically and logically every learner, especially learning maths and/or programming has to come to grips with this value.
The only other number that fits into this domain of numerical reason is 1. That’s another story.
",
