,Title,Categories,Tags,Replies,Post,Comment
0,About the Git FAQ category,"FAQ,Git FAQ",,1,"
Git is an essential tool for saving and managing different versions of your code projects.  This category contains the most frequently asked questions about Codecademy’s Git courses.
",
1,What makes Git useful to a developer?,"FAQ,Git FAQ",,13,"
Question
What makes this tool, Git, useful to the typical software developer? Why would I need this in my day-to-day work?
Answer
When I think of Git, a few key things come to mind:


Peace of mind. I know that when I use Git, I have a history of changes I’ve made to my work, and I know I can access those old versions whenever I need to. So if I break something by trying to add some new feature, I can simply revert to an older, working version of the code.

Collaboration. Working on a team with other developers means, at least in part, knowing how to use Git. It allows you to work on the same project at the same time and not interfere with each other’s work. This is possible because of branching, which you’ll learn about soon.

Production. When you’re developing any non-trivial product, you’ll likely have a production version that is available to your end users, and versions that aren’t. The versions that aren’t are where you’re testing new features, working out bugs, and making improvements to existing code. This is all made possible, or at least much easier, through Git.

Blame. Git keeps track of who wrote what and made what changes in a project. This is called blame, and it’s not a bad thing like it might sound. It can be very useful to know who worked on a piece of code so you know who to talk to about it if it needs changing or if you’re curious about how it works.

Ubiquity. Git is used practically everywhere today, and for good reason! It saves a lot of headache in the development cycle, and has become a part of almost every developer’s toolkit.

There are a lot of other reasons to learn and love Git, but that comes with experience. Happy learning!
","
“Responsibility” could replace “Blame” to remove negative connotation.

However, if “blame” is the correct term, then people should just remember that it’s doesn’t mean anything bad. Replacing terms could be a really good way to mix up communication.
I get it, though. English has a stunning capacity for imprecision, and it does create some confusion. 

Its a shorter word in length.  Tech likes short, descriptive words.

Thanks for explanation.

why we don’t go from working directory straight to stage 3 repository and have stage 2 ?

When people have to remember it does not mean anything bad  that is a hallmark that the wrong word is being used.  That is why @dubx86 made that comment. This is the price that we pay for people thinking it is ok failing to be accurate in English.

To say in super short… Cause Git is Awsome.

Very true. In project management we say, “we attack problems, not people”. E.g. during a daily standup meeting instead of saying, “John wrote really bad code and we need to fix it” you’d say, “we need to refactor this section of the codebase to make it more DRY”.

I immediately thought of this too. Blame has a very negative connotation.




 text0643515535:

When people have to remember it does not mean anything bad that is a hallmark that the wrong word is being used.


I’m going to embroider this as a wisdom tile 

So, can we say that Git is basically a Google Document, shared to others and allowing them to edit?

LOL, you do make a good point there.
Of course, English is already a really inaccurate language.
"
2,What are these untracked files showing up that I didn't create?,"FAQ,Git FAQ",,5,"
Question
When I do git status, several files show up in red that I didn’t create, like ‘init_test.rb.’ What are these files?
Answer
These are files created by Codecademy’s environment to check that you’re completing the exercises successfully. They’re not part of the project and don’t need to be considered.
However, they do offer a valuable lesson! When you’re working with a project that generates files that you aren’t interested in tracking with your Git repo, you don’t always have to add them, and it’s okay for them to remain red.
For example, often at times you’ll use a .gitignore file and specify file types to be ignored by Git. These will be file types that are generated for logging, by your operating system, or any other file that doesn’t need to be tracked and maintained as part of the essential project. It’s just good to be mindful of the fact that such files can be generated, so using git status to see what files are modified is a good way to keep track of that.
","
The first line of git status shows “On branch master”. What does it mean? Please explain.

A branch in git is simply put, an independent line/path of development.
The line consists of references (pointers) to your git commit snapshots.
It may help to visualize these snapshots as aligning in a “branch”/sideways flowchart-like structure.
The master branch is the main (default) branch.
The master branch can “branch off” into smaller “twigs” of individual branches.
These smaller branches can later be merged (synced) back into the master branch.
The git status line “On branch master”, basically means that your commit is connected to the default/master branch.

Example: Two people both work on the same coding project. The project lie on the master branch.
Person A is tasked with fixing bugs in the project.
Person B is tasked with adding new features to the project.
In order to be able to work parallel on the project. They both create their own separate branches that points to their respective Git Commits, which in turn keep track of their own individual changes to the code. This way, they won’t risk messing up the main project on the master branch.
After they have made sure it’s safe to sync up their changes to the main project, they can then (in turn) merge their own branches with the master branch.

To better understand the concept, here are some resources:
https://www.codecademy.com/learn/learn-git/modules/learn-git-git-branching-u
https://www.atlassian.com/git/tutorials/using-branches
https://git-scm.com/book/en/v1/Git-Branching-What-a-Branch-Is
https://learngitbranching.js.org

Hi,
When I type  git status, it shows nothing but this
fatal: not a git repository (or any of the parent directories): .git 

what is that mean? Did I do wrong?

just find out in the next step
https://discuss.codecademy.com/t/why-am-i-unable-to-git-add-a-file/361676
"
3,Why would I want to see a log of past commits?,"FAQ,Git FAQ",,1,"
Question
When would git log's output come in handy?
Answer
The output seen when running git log is the 40-character SHA, the author of that commit, the date and time of the commit, and the commit message.
This is super helpful when you need to look back over the history of a piece of code for various reasons.

What if you broke something in the code and wanted to see what past, working commits you have available to revert to?
What if you want to make a new feature based on an older version of your code, but didn’t remember which commit you wanted to base it off of?
It’s good to know this information is there so that when you’re developing, you have the peace of mind knowing that, as long as your commit messages were decent, you’ll have a safety net.

And that’s really the main issue: bad commit messages. If you don’t write commits that concisely tell what happened in a commit, it won’t be of much use later when you run into trouble.
",
4,What does it mean to be a Git project?,"FAQ,Git FAQ",q-a,2,"
Question
This exercise says we’re turning sorcerers-code into a Git project – what does this mean?
Answer
sorcerers-code is an existing directory with some files already in it, so it’s already a project of sorts. But! It’s not yet a Git project – better known as a Git repository, or repo.
When you use git init and initialize a repo, you’re officially making a Git project and can now make use of all the git commands in the world! If you’re not inside of a git repo, you won’t be able to use git commands and the terminal will complain to you about it.
","
Git is a version control system. It is on the command line. So when you turn it into a Git project, you are essentially making your project able to be compatible with Git by getting git commands imported to the command line.
"
5,Why am I unable to 'git add' a file?,"FAQ,Git FAQ",,10,"
Question
I’m trying to git add <filename.txt> but it’s complaining about not being a git repository, why is this and how do I fix it?
Answer
If you see an error message along the lines of fatal: Not a git repository (or any of the parent directories), this means you’re not in the right directory to be using git commands. Recall that you can only use git commands in a git repo.
To navigate back to where you should be (/home/ccuser/workspace/sorcerers-code) you’ll want to make use of pwd and ls while you cd your way back from wherever you currently are.
Also, be sure to take a look at this handy directory map if you need a reminder of how the structure is set up.
If that still doesn’t fix the issue, be sure you’re correctly typing the filename you want to add. To avoid typos, type the first few letters of the file and press tab and it’ll autocomplete for you.
","
If you see the fatal: Not a git repository (or any of the parent directories) error, initialise a new Git again in the directory you are working by git init command and try running the git add scene-1.txt

Thanks bro it worked

Thanks was stuck here. Works

Hey, it still doesn’t work for me. I checked the directory and the git init, but it still doesn’t work. I restarted it and refreshed it many times with the same result. can somebody help me?

The same! Stuck there. Now it works!:))

it still did not work for me 

Same hier!
Please help!

I managed to make it work now!
@paulbangle1519982234  did you managed to solve it?
I just did…
I refreshed the page once again and then I did the following:
 git init /home/ccuser/workspace/sorcerers-code/.git/
Reinitialized existing Git repository in /home/ccuser/workspace/sorcerers-code/.git/.g
it/
 ls
add_test.rb  init_test.rb  scene-1.txt
$ git cd scene-1.txt
git: ‘cd’ is not a git command. See ‘git --help’.
Did you mean this?
add
$ git add scene-1.txt
it worked! 

Thank you so much! This helped me a lot
"
6,Can we reset HEAD without unstaging?,"FAQ,Git FAQ",,1,"
Question
We learn in this lesson that git reset HEAD filename is a useful way to unstage filename and update the HEAD pointer. Is there a way to simply update the HEAD pointer while keeping the stage as is?
Answer
The short answer is yes but let’s first justify wanting to move the HEAD and leave the staging area the same. One reason you may want to rollback the HEAD without clearing the staging area is to commit the files currently in the staging area immediately (or soon) after the rollback.
With that in mind, how do we do this? The way we accomplish this is by writing
git reset --soft HEAD

or if you have the commit SHA hash,
git reset --soft commitSHA

So the key is to use reset with the argument --soft.
",
7,How does Git backtracking differ from simply commiting the desired changes?,"FAQ,Git FAQ",,1,"
Question
In the lessons on Git backtracking, we’re introduced to techniques for modifying a previous commit. How does this differ from making a commit with the corrections?
Answer
Backtracking differs in a few ways from making a new commit but there are two reasons that are important for up at this point. First, by backtracking instead of making new commits, we’re able to make small changes to our previous commits without cluttering our repository history with commit messages of similar to “forgot to add file X from my previous commit so doing that now.” Second, and very important, is the following (to quote ProGit):

It’s important to understand that when you’re amending your last commit, you’re not so much fixing it as replacing it entirely with a new, improved commit that pushes the old commit out of the way and puts the new commit in its place. Effectively, it’s as if the previous commit never happened, and it won’t show up in your repository history.

As you should see now, backtracking behaves differently from committing and serve different purposes.
",
8,What should we be careful about with Git checkout?,"FAQ,Git FAQ",,4,"
Question
The command git checkout provides us with a way of pulling down a previously committed file into our working directory. What should we be aware of when using this command?
Answer
git checkout is sometimes referred to as a “dangerous command”. This highlights that it has some gotcha aspects that you should be aware of when utilizing it. For now, it’s most important to understand that any local (in your working directory) changes that you’ve made to the file being checked out will be gone. Git will simply copy the most recently-committed version of the file to your working directory, overwriting your copy. Therefore, it’s crucial that you avoid this command unless you absolutely know that you don’t want your unsaved local changes. Keeping this consideration in mind while using this command will save you the grief of losing your progress when all you wanted was to take a peak at what the previous commit looked like.
","
Hello, perhaps this is explained later on the course. But it seems that the file is overwritten (this was hard for me to understand because it wasn’t reflected on the codecademy console). My question is this. Are all files overwritten when you save multiple files as the upcoming lesson “More git add” explains? Does checkout restore all of them or just the one? Maybe we can write multiple files on the same line and get it to reverse them all.

Checkout command can behave differently depending what we want to achieve. Most common way - you will be switching to new branch with it, in doing so your basically replacing your local files with their version from repo. But in context of reversing changes - you can do it (you can specify files you want to adjust).
Probably this will be useful in context to this question link

If we want to peak at the last commit, is it possible to write git checkout HEAD filename.txt > peak_commit.txt? Would this be considered best practice or an anti-pattern?
"
9,FAQ: How to Backtrack - git reset I,"FAQ,Git FAQ",,1,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “git reset I” exercise from the lesson “How to Backtrack”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Web Development
Learn Git
FAQs on the exercise git reset I


Can we reset HEAD without unstaging?

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
",
