,Title,Categories,Tags,Replies,Post,Comment
0,[README] Learn Git,"Get Help,Git",,2,"
Welcome to Learn Git Pro

Git is an essential tool for saving and managing different versions of your code projects. This forum category covers broader discussion about Git related topics.
This course contains the following Sections/Lessons:

Basic Git Workflow

Basic Git Workflow


How to Backtrack in Git

How to Backtrack


Git Branching

Git Branching


Git Teamwork

Git Teamwork





Topics in this course, By section:

Basic Git Workflow
How to Backtrack in Git
Git Branching
Git Teamwork

Projects in Git

All Project topics belong in the category #project
Sort By:

Birthday Party

Recipe Book
Just to mention a few


FAQ’s
View all
Q & A’s
View all
More resources from Codecademy
Module Key Concepts

Basic Git Workflow
How to Backtrack in Git
Git Branching
Git Teamwork

Articles:

Getting Started with Git and GitHub

","
"
1,Codecademy bug?,"Get Help,Git",get-teamwork,6,"
https://www.codecademy.com/paths/web-development/tracks/learn-git/modules/learn-git-git-teamwork-u/projects/js-homework
Hi all. Trying to get on with the part of the course every time I click it says:
Something has gone wrong
We’re sorry, and we are working our best to fix this. In the meantime, have you tried the following?

Refreshing this page.
Clearing your browser cache.

If that doesn’t help, please let us know on our Help Center!
Anyone know how to stop this? Obviously refreshed and cleared cache.
","
Same here… I guess something is going wrong.
Time to get a hot drink I  

Cheers for that, least it’s not on my end! Tea or coffee?

And it’s working again! Hope it does for you too

And just like that we’re back in!

Same happened to me. Although it´s back up now!!
"
2,Mkdir to make new directory on local computer,"Get Help,Git",basic-get,3,"
I am trying to create a directory. So first I type in - cd C:/Desktop/codecademy - the I type - mkdir excursion.
A folder name excursion should appear in codecademy folder but nothing appears.
can you tell me the process. Thanks.
The link to the project is as follows:
Excursion Project
https://www.codecademy.com/paths/learn-how-to-build-websites/tracks/finishing-touches-and-publishing-a-website/modules/git-and-publishing-to-github-pages/projects/f1-excursion
","
Is it just a case of file explorer not updating? If you right-cliked and used refresh does it pop up then?
What about just using ls immediately afterwards?
Is this windows? What shell are you using? Can you use mkdir with the verbose flag on?

I’ve got it now. I had to move down the directory one at a time.  so first I entered “pwd” > I was at “C:\Documents and Settings\user” > I moved to Desktop by entering “cd Desktop” > then I entered next directory “codecademy” > I then created a new directory inside codecademy by entering “mkdir excursion”.
So what I learnt is that you have to move up the link of directory one at a time. Thanks tgrtim.
"
3,Unable to link local repository to GitHub repository - fatal: pathspec 'README.txt' did not match any files,"Get Help,Git",general,10,"
Hi everyone,
I am having issues with setting up my Git repository and linking it to GItHub.  I am following the video below:
Link - Windows version
When I try to add a readme.txt file it states:
$ git add README.txt
fatal: pathspec 'README.txt' did not match any files

I believe I have successfully setup my username and email:  Here is what my repository looks like in File Explorer:
image769×261 6.44 KB
Finally Git Bash is also returning the below error when I try to push something to my github reporitory:
$ git push -u origin master
error: src refspec master does not match any
error: failed to push some refs to ‘’
I appreciate any help I can get!

JRB
","
$ git add README.txt
fatal: pathspec 'README.txt' did not match any files

Are you in the same directory as README.txt?

Yes I am.  Image is below:
image1192×186 11 KB

Hm, the image doesn’t show that readme.txt is in users? You would confirm with an ls command.
Even if the file hasn’t been modified, you should be able to git add the file if it’s in the directory.
@jrb0831 Try looking at these examples. I feel like one of these s going to help: https://stackoverflow.com/questions/4181861/message-src-refspec-master-does-not-match-any-when-pushing-commits-in-git
As for following videos… Yea, the thing is unless you can recreate the environment of the video perfectly, you can’t always assume the same results. In a way, it’s these detours that help one understand the structure a little bit better of what goes on.

That was it.  I had mistakenly named the file README.txt.txt 
However when trying to push my repository to Git repository to GitHub I receive the below error:
image1184×131 8.27 KB
I feel like I went wrong somewhere during my configuration but have no clue where.  I’ve been following the video step-by-step.
Thank you for all your help!

I think that’s a case of updating your repo through github.com itself so that your online commit is now ahead of your local commit.
You’ll want to fetch that online commit and merge it with your own. Will add a little detail in a minute.

If you don’t have important changes in your local commit you could just do a git pull followed by git push which would fetch the newest commits from your online repo and automatically merge them with your local commit (most of the time this is fine anyway with the standard merge methods) followed by a push of the newly merged commits to your remote repo. This is probably the best choice for now unless you wanted to do some extra reading.
If you want to be extra cautious you can use git fetch to get the updated versions without an automatic merge. You’ll find them as branches prepended with the name you use for your pull remote (in this case origin) so master for example would be origin/master. You can then use them like a normal branch and check merge options in detail .e.g --dry-run to be sure your merge is safe.

Thanks for the information but I think I might be misunderstanding something.  I’ve ran git pull and followed it up with git push which seem to run without error.  I believe this is pulling everything from my existing online repository down to my local repository and then I am pushing it all back up (keeping everything in sync).  However I still cannot run:
$ git push -u origin master
error: src refspec master does not match any
error: failed to push some refs to 'https://github.com/xxx/git_practice.git'


Ooh sorry, that’s not what I thought it was. I’d have a look at this SO query to see if any of it covers your issue-


stackoverflow.com






Message 'src refspec master does not match any' when pushing commits in Git


git, commit


  asked by
  
  
    sinoohe
  
  on 06:09AM - 15 Nov 10 UTC







That worked!  All I had to do was commit something!
Tyvm
"
4,Git Bash Not Recognizing Changes,"Get Help,Git",,6,"
I’m learning about git commands at the moment and i understand the commands for the most part, my only question at the moment is how and where do i make the changes to a file in order for git to register the changes? I have set the repository and added the file. But do i go into the file, make a change then go back to git and add the file again? Because when i do, even if i add a line AND save, then add it, when i use “git diff” nothing pops up. it doesn’t see that i have made changes.
","
What two things did you diff? You left that to the default behaviour right? So which two things did it compare by default and did you make those two things be different?
When you’re editing a file, you are not “in the file”. Your editor is displaying some text. What’s in the file is what sits on the disk, your edits only end up in the file after you’ve told your editor to save the content.
git does not pay attention to when you write to a file or what you do in a text editor.
you can add files to git’s staging area, and from that make a commit when you’ve added all changes that you want your commit to consist of.
if you want to diff two things, then unless you want to diff the two things that git diffs by default when you don’t specify anything, then you will need to specify the two things you wish to diff.

Well in the lesson itll say to add a line to which it shows at the top something like “scene-1.txt”. so i add a line to scene-1.txt, do “git add scene-1.txt”, then i just type git diff scene-1.txt to see what changes were made. and it showed the new line that was added. i didnt have to specify anything. but also okay so if i dont edit through the text editor how would i add stuff to the text file like i am doing in the lessons. Heres The Lesson
Also as a side note, in git bash when i try to commit from my personal git bash app, i get a user name error. saying to specify my name.

No you would use a text editor to edit text files. The point is git has nothing to do with that.
You can specify a name when you make a commit or in a configuration file (https://git-scm.com/docs)
If you add your changes and then run git diff with no arguments, then you’ll get no changes showing up, because you eliminated the difference between the two things you’re comparing. If you get a difference anyway then you did something else. (if you make b the same as a and then compare a to b then you’ll have no difference)

Hi,
I am writing the following code in git bash shell: mkdir excursion. a folder by the name excursion should show up in my codecademy directory but nothing shows up. I make sure that i am in codecademy directory by typing: cd Desktop/codecademy.

Just note in the future how old a thread as this query might’ve been better as a new thread. Could you try with the verbose flag? Like so-
mkdir -v directoryname
"
5,Fatal error: Please tell me who you are )),"Get Help,Git",,11,"
Re this https://www.codecademy.com/courses/learn-git/lessons/git-workflow/exercises/git-commit?action=resume_content_item.
why the following fatal message is shown:
What should I do?
Thanks for your support.
Admin@User-PC MINGW64 /c/users/admin/desktop/html/halimjon.com (master)
$ git commit -m ""Complete first line of dialogue""

*** Please tell me who you are.

Run

  git config --global user.email ""you@example.com""
  git config --global user.name ""Your Name""

to set your account's default identity.
Omit --global to set the identity only in this repository.

fatal: unable to auto-detect email address (got 'Admin@User-PC.(none)')


","
the output tells you need to set your email address and username:
  git config --global user.email ""you@example.com""
  git config --global user.name ""Your Name""


Admin@User-PC MINGW64 /c/users/admin/desktop/html/halimjon.com (master)
$ git config --global User-PC.Halim

Admin@User-PC MINGW64 /c/users/admin/desktop/html/halimjon.com (master)
$ git config --global User-PC.halimjonik@gmail.com

Admin@User-PC MINGW64 /c/users/admin/desktop/html/halimjon.com (master)
$ git commit -m ""Complete first line of dialogue""

*** Please tell me who you are.

Run

  git config --global user.email ""you@example.com""
  git config --global user.name ""Your Name""

to set your account's default identity.
Omit --global to set the identity only in this repository.

fatal: unable to auto-detect email address (got 'Admin@User-PC.(none)')

Admin@User-PC MINGW64 /c/users/admin/desktop/html/halimjon.com (master)
$


user.email and user.name should be part of the commands, how else does git knows what you are setting?


Admin@User-PC MINGW64 /c/users/admin/desktop/html/halimjon.com (master)
$ git config --global user.email ""halimjonik@gmail.com""
Admin@User-PC MINGW64 /c/users/admin/desktop/html/halimjon.com (master)
$ git config --global user.name “Halim”
Admin@User-PC MINGW64 /c/users/admin/desktop/html/halimjon.com (master)
$ git commit -m “Complete first line of dialogue”
[master (root-commit) 2db27db] Complete first line of dialogue
1 file changed, 2 insertions(+)
create mode 100644 scene-1.txt

I quite didn’t understand why do we need commit message like here:

Admin@User-PC MINGW64 /c/users/admin/desktop/html/halimjon.com (master)
$ git log
commit 2db27dba228a6782fc38a61613003ab4bb6195f4 (HEAD -> master)
Author: Halim halimjonik@gmail.com
Date:   Sat Mar 16 12:24:13 2019 +0300
Complete first line of dialogue


Git message are useful to quickly to gain an overview of what changes are made, which is why commit messages should be descriptive. Especially when you work with other people at a project

So, what’s the answer to the question?  How do we resolve this - for those of us who don’t follow the code above.

The answer is literally in one of @halimhamidov his answers. the command is (as you could read in documentation):
git config --global user.email ""your@email.com""


awesome! worked like magic…thanks a lot

I need help at sqlite setup for windows, codecademy gives  a windows tutorial for setting up but they don’t use git bash, my problem is that when i try to find my unzipped file of sqlite , the terminal says ’ no file or directory found’. I have already follow each steps of the instructions and i still cant setup the sqlite.
The command line that should work is
cd~/Downloads/sqlite-tools-win32-x86-3320300/sqlite-tools-win32-x86-3320300/
Help me please 
"
6,Error: failed to push some refs to 'https,"Get Help,Git",general,1,"
Hi, I am working on the Basic Git Workflow exercise. I can create a repository locally and on GitHub without a problem but when I try to connect them I get this error:
error: failed to push some refs to 'https…(rest of the link to the github repository)
I also wanna say that I directly copy pasted the commands that got an error right from GitHub. If you need anything else just say so.
",
7,Git Branching,"Get Help,Git","general,get-branching",3,"
In this exercise,we use “git checkout” for  switch to the new branch , but in backtracking lesson we use “git checkout” for restore the file in your working directory to look exactly as it did when you last made a commit.How can I distinguish these commands?
Exercises link:

https://www.codecademy.com/paths/web-development/tracks/learn-git/modules/learn-git-git-branching-u/lessons/git-branching/exercises/git-checkout
https://www.codecademy.com/paths/web-development/tracks/learn-git/modules/learn-git-git-backtracking-u/lessons/git-backtracking/exercises/git-checkout-1

","
I’m only going through some of these myself at the minute so take this all with a pinch of salt (any advice may sit somewhere between simply inaccurate to wildly incorrect ). From what I understand checkout is used to alter the state your current working directory. This can be switching to a new branch or reverting to your last commit (also allows changes on a smaller file by file basis).
You can also view previous commits on a branch but it gets a bit more complex (detached HEAD state if you want to look into it) because you can’t just start working from this point (or at least you’d no longer be making changes to an active branch). You’d need to either shift the branch to this commit (something like git reset) or you’d want a new branch at this point to start developing on.
Basic docs are linked below but a number of online queries delve into the detached HEAD state if you wanted more guidance-
https://git-scm.com/docs/git-checkout

Hey, when I went through the git module it didn’t sink in immediately. Not too long afterwards I ran into this CS50 video from Harvard (https://youtu.be/1u2qu-EmIRc) that I thought did a really nice job at concisely explaining it (with good visuals).
"
8,No Git setup guide for Linux,"Get Help,Git",general,2,"
Hello
So I notice here there is only a walkthru on how to setup Git for Mac and windows only. Linux is left out, really?
I know I can look up on the internet, but these are basics you should cover so a total newbie wouldn’t feel lost.
","
The linux setup is the same as the Mac with the only exception being that setting the credential.helper

git config --global credential.helper cache

"
9,Stucked in the command line,"Get Help,Git",general,15,"
Hello there,
And my additional question is : what to do or what key to press in order to get out of this (please see the file)? I understand that something is working, but even overnight it still continues to progress. I close it by closing the terminal window, but I think that this is not elegant
Bildschirmfoto 2020-06-27 um 15.09.441212×786 135 KB
Thank you!
","
why are using vi? If you find vi ( a command line text-editor), you might want tell git to use nano instead (you can google how to make nano the default editor for git)
to exit vi, first type a colon (:), then type wq (write quite) or q! (quit without saving) and press enter.

yes, i will  try out!
I type “git pull” in the command line, then I press enter and I get stucked in nano. I am not using vi, it happens by itself, something is wrong with “git pull”

like the file says, please enter a commit message to explain why this merge is necessary. Which is why you get the file.
Doesn’t like nano? Looks like vi. Nano should be easy to exit (ctrl + x if i remember correctly)
vi(m) seems to be the default:
https://www.oreilly.com/library/view/gitlab-cookbook/9781783986842/apas07.html
so I would recommend changing the default editor.

it means I type colon ( then I press q
and then I type: git commit -m “merge necessary”  enter
yes?

or you can type the reason why you merged directly in that file. But I am not going to cover vim, that is something you can find a tutorial for 
commit messages are there to remind yourself later (and others), why you made a merge. Merge necessary is not really a why.

so as I understand git pull command calls vim?!
I don’t understand how it could happen that I need something to merge? I always push from my local folder to GitHub, only one direction
and now If I want to push something the command line tells me I have to pull first, cause  I have different commits,
I am not interested in vim, thank you for your previous key-tip ( if I am stucked in vim again)




 justsql:

so as I understand git pull command calls vim?!


no, it calls whatever command line text-editor you have configured. This behavior allows you to write a message as to why you merged.



 justsql:

I don’t understand how it could happen that I need something to merge?


And you are the only one working on the project? You might be able to figure out with git log to start seeing what you needed to pull. Although your command line should tell you after you merged and exited vim.

I started on git recently as well, following the directions for the Mac since I use debian linux (raspberry pi).  I see that message open an editor, then I close it, and then see success anyway.
By the way, if you’re only using git on your system and not merging with anyone else, then just use git push when pushing updates.

Hello,
just simple git push does not work, it seems that my remote and my local repository diverge in commits, i guess.
I  tried to add my modified index.html file and I committed it and then I tried to push it and then I got the Hint: The updates were rejected because the tip of your current branch is behind its remote counterpart.
Please see the picture:
Bildschirmfoto 2020-06-28 um 14.57.421278×1414 466 KB
If I type git pull I get stucked, maybe iI should use the extended version of git pull?
I don’t know what was done remote, I am the only one user,  I am confused.
Thanks for help in advance!
Katha

Hi stetim94,
Yes I did git log, and maybe you can take a look an the picture down?


Hey harrjt,
Unfortunately git push origin master didn’t work, maybe there is another solution?


you can just run:
git pull

git says the changes can be fast forwarded.

I did and then I had to select between Recovery Delete Edit Quit: First I selected Recover then I end up being stucked, then I did it again and I selected Delete
something happened,
Then I should commit and I simply typed git commit “complete merge” and then everything worked
So far I understand what was wrong, but still I am wondering about things which are executed via command line,
Thanks for helping me!

I have no idea. If i had a problem like that, i would use google to find out what might cause it. Even as a developer, you can’t know everything (That includes me)
"
