,Title,Categories,Tags,Replies,Post,Comment
0,About the Swift FAQ category,"FAQ,Swift FAQ",,1,"
Swift is a powerful programming language that is easy and also fun to learn. Its code is safe by design, yet also produces software that runs lightning-fast. It is used to build apps for iOS, watchOS, macOS, tvOS, and Linux.
",
1,FAQ: Functions - Omitting Argument Labels,"FAQ,Swift FAQ",,2,"

Community%20FAQs%20on%20Codecademy%20Exercises1000×208 141 KB

This community-built FAQ covers the “Omitting Argument Labels” exercise from the lesson “Functions”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Swift
FAQs on the exercise Omitting Argument Labels


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Forgive me, I think I am thinking too much. Can anyone explain to me as though I’m a child- on Omitting Argument Labels, we are learning about underscores in front of a parameter. This is what the lesson explains:

So far in this lesson, we’ve used parameter names in function calls thus using an  _  and omitting a parameter name is entirely optional. Many developers prefer this syntax because it:

Improves readability
Avoids repetition in the function call
Relates to how functions are called in various other programming languages


WHY do we write the parameter we use the underscore with if we are not calling it? Does it mean we CAN call or not call? If that’s the case, if there is NO underscore, does that mean we HAVE to call it? I’m super confused. I AM able to do the work, but I don’t get why.
Since I am asking… if you are an experienced coder, when do you feel as though you know enough you could actually take something and know fairly well how to implement? I love the way this is teaching it and the more times I reset and do-over, I am getting better and better, BUT if the lesson didn’t tell me what I needed, I would continue being that proverbial “deer in the headlights.”
Thanks!
~Teraisa
"
2,FAQ: Arrays - .insert() and .remove() Methods,"FAQ,Swift FAQ",,2,"

Community%20FAQs%20on%20Codecademy%20Exercises1000×208 141 KB

This community-built FAQ covers the “.insert() and .remove() Methods” exercise from the lesson “Arrays”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Swift
FAQs on the exercise .insert() and .remove() Methods


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
What does the code look like when using .remove if you have more than one item to remove? I tried a comma and a semi-colon and it did not help. Thank you in advance.
"
3,FAQ: Loops - While Loop,"FAQ,Swift FAQ",,5,"

Community%20FAQs%20on%20Codecademy%20Exercises1000×208 141 KB

This community-built FAQ covers the “While Loop” exercise from the lesson “Loops”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Swift
FAQs on the exercise While Loop


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
var guess = Int.random(in: 1…10)
var magicNum = Int.random(in: 1…10)
// Add your code here 
while guess != magicNum {
guess = Int.random(in: 1…10)
magicNum = Int.random(in: 1…10)
print(“You guessed (guess), and the number was (magicNum).”)
}
The guided lessons says "" * Reassign  guess  to  Int.random(in: 1...10) .

Also reassign  magicNum  to  Int.random(in: 1...10) .

Note : if you don’t reassign  guess , you may end up in an infinite loop. ""
If the variables were assigned globally, why did they have to be restated in the while loop?

Bumping this up because I want to know, too.

honestly was staring at the screen confused because I was like what do they mean reassign if they’re already defined.




 ambermoore6119664730:

magicNum = Int.random(in: 1…10)


I don’t see the need for that line. The magic number should remain fixed, and only the guess would need to be changed in the loop.
"
4,FAQ: Loops - The continue Keyword,"FAQ,Swift FAQ",,3,"

Community%20FAQs%20on%20Codecademy%20Exercises1000×208 141 KB

This community-built FAQ covers the “The continue Keyword” exercise from the lesson “Loops”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Swift
FAQs on the exercise The continue Keyword


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Hello,
I solved the question by doing it a different way. They both print out the same response. I would just like to know the difference between my response and the response that codecademy gives. This is what I had come up with but it kept giving me an error but producing the correct answer.
for num in 1…9 {
// Add your code below 
if num % 2 == 0{
print(num)
}else{
continue
}
}
print(“Who do we appreciate?”)
print(“YOU!”)
edit
As I type this out I think I figured out that mine does it by looking if the remainder is 0 and if it is, it prints out the number. It seems that codecademys answer is if it has a remainder it skips it over and prints out the other numbers that are divisible by 2. I would just like confirmation about my thought process.

I’m glad you wrote because I am stumped. I feel like I missed something here. What you said in your edit makes sense–using your info with what I know, I’m hoping I won’t need to use their solution. I’ll come back and edit this if I have anything useful to say. Again, thanks!
Edit: We’re asked to look if the number is ODD, so regardless of correct answer after running, that’s what our code is to be focused on.
I’m still going to need to go over this a few times and do some research.
Good luck with the rest!
"
5,FAQ: Loops - The for-in Loop,"FAQ,Swift FAQ",,3,"

Community%20FAQs%20on%20Codecademy%20Exercises1000×208 141 KB

This community-built FAQ covers the “The for-in Loop” exercise from the lesson “Loops”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Swift
FAQs on the exercise The for-in Loop


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Is there any reason Codecademy would want to stop us from using large numbers? (I know that the initial number I put is one less than what causes an error from Python without additional code.)
I have used loops that run in the thousands to calculate pi and e before, and my computer was fine.

What’s happening? Is it not working in the “classroom?” Just curious–in case I run into the same issue. Thanks.
Also, to the Swift Codecademy staff, thanks for making witty lessons, so much more fun (and easy) to learn.
"
6,FAQ: Logical Operators - Logical NOT Operator,"FAQ,Swift FAQ",,2,"

Community%20FAQs%20on%20Codecademy%20Exercises1000×208 141 KB

This community-built FAQ covers the “Logical NOT Operator” exercise from the lesson “Logical Operators”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Swift
FAQs on the exercise Logical NOT Operator


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Just curious if you could explain in easy to understand terms why we would need to say something is true but then say it’s false/vice-versa. I understand how it works but am struggling to understand WHY. I think. 
"
7,FAQ: Structures - The Init Method,"FAQ,Swift FAQ",,2,"

Community%20FAQs%20on%20Codecademy%20Exercises1000×208 141 KB

This community-built FAQ covers the “The Init Method” exercise from the lesson “Structures”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Swift
FAQs on the exercise The Init Method


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Could someone help me understand why a structure’s instance cannot be defined as a constant?
"
8,FAQ: Conditionals - Switch Statement,"FAQ,Swift FAQ",,3,"

Community%20FAQs%20on%20Codecademy%20Exercises1000×208 141 KB

This community-built FAQ covers the ""Switch Statement "" exercise from the lesson “Conditionals”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Swift
FAQs on the exercise _Switch Statement _

There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Still unclear why Switch is needed over an Else If. In the example with the cities, they seem to simply confirm you can do the same thing with Switch OR Else If. Any insight is appreciated.

I’ve got some confusion…
The lesson made me believe that using switch was INSTEAD of the else if, yet the only way to pass is for ALL of it to be used? And if this is true, then the next question I had was how the switch knew the expression was [Tony Stark]-but if it’s not true, then I’m unsure how switch figures this out, exactly.
So, is it switch OR else if or is it switch AND else if (and WHY, oh why???).
"
9,FAQ: Dictionaries - Creating a Dictionary Literal,"FAQ,Swift FAQ",,2,"

Community%20FAQs%20on%20Codecademy%20Exercises1000×208 141 KB

This community-built FAQ covers the “Creating a Dictionary Literal” exercise from the lesson “Dictionaries”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Swift
FAQs on the exercise Creating a Dictionary Literal


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Could someone help me understand the mechanics behind why repeated queries to unordered dictionaries result in differing printed orders?
"
10,FAQ: Structures - Review,"FAQ,Swift FAQ",,1,"

Community%20FAQs%20on%20Codecademy%20Exercises1000×208 141 KB

This community-built FAQ covers the “Review” exercise from the lesson “Structures”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Swift
FAQs on the exercise Review


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
",
